date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-11-16,659000,13038240,19.72,19.82,19.72,19.8,-0.19,150,,00715L,期街口布蘭特正2
2017-11-17,1458000,28345140,19.57,19.69,19.27,19.33,-0.47,86,,00715L,期街口布蘭特正2
2017-11-20,2307000,46247680,20.04,20.1,20.01,20.07,0.74,299,,00715L,期街口布蘭特正2
2017-11-21,456000,9070810,19.84,19.94,19.84,19.89,-0.18,22,,00715L,期街口布蘭特正2
2017-11-22,1604000,32439230,20.09,20.32,20.09,20.22,0.33,109,,00715L,期街口布蘭特正2
2017-11-23,1761000,35671900,20.27,20.31,20.17,20.18,-0.04,49,,00715L,期街口布蘭特正2
2017-11-24,480000,9786680,20.41,20.45,20.34,20.39,0.21,19,,00715L,期街口布蘭特正2
2017-11-27,142000,2923930,20.49,20.61,20.49,20.6,0.21,20,,00715L,期街口布蘭特正2
2017-11-28,646000,13202220,20.6,20.6,20.42,20.45,-0.15,17,,00715L,期街口布蘭特正2
2017-11-29,507000,10237470,20.24,20.24,20.18,20.18,-0.27,12,,00715L,期街口布蘭特正2
2017-11-30,675000,13566640,20.08,20.12,20.07,20.12,-0.06,14,,00715L,期街口布蘭特正2
2017-12-01,452000,9187360,20.33,20.36,20.28,20.28,0.16,9,,00715L,期街口布蘭特正2
2017-12-04,969000,20008430,20.6,20.71,20.58,20.65,0.37,41,,00715L,期街口布蘭特正2
2017-12-05,585000,11748950,20.1,20.11,20.07,20.07,-0.58,26,,00715L,期街口布蘭特正2
2017-12-06,265000,5329450,20.1,20.12,20.1,20.11,0.04,11,,00715L,期街口布蘭特正2
2017-12-07,595000,11536840,19.31,19.41,19.31,19.4,-0.71,22,,00715L,期街口布蘭特正2
2017-12-08,893000,17725760,19.68,19.88,19.68,19.85,0.45,29,,00715L,期街口布蘭特正2
2017-12-11,649000,13243100,20.42,20.44,20.36,20.4,0.55,26,,00715L,期街口布蘭特正2
2017-12-12,1391000,30158610,21.35,21.99,21.35,21.99,1.59,73,,00715L,期街口布蘭特正2
2017-12-13,703000,14707330,20.95,20.96,20.83,20.94,-1.05,75,,00715L,期街口布蘭特正2
2017-12-14,606000,12200930,20.12,20.16,20.09,20.12,-0.82,71,,00715L,期街口布蘭特正2
2017-12-15,835000,17150010,20.45,20.57,20.45,20.54,0.42,49,,00715L,期街口布蘭特正2
2017-12-18,484000,9974010,20.53,20.62,20.48,20.59,0.05,18,,00715L,期街口布蘭特正2
2017-12-19,671000,13838620,20.56,20.69,20.56,20.69,0.1,31,,00715L,期街口布蘭特正2
2017-12-20,609000,12789330,20.97,21.02,20.97,20.99,0.3,39,,00715L,期街口布蘭特正2
2017-12-21,942000,20062510,21.39,21.39,21.28,21.34,0.35,47,,00715L,期街口布蘭特正2
2017-12-22,765000,16478400,21.44,21.61,21.44,21.51,0.17,39,,00715L,期街口布蘭特正2
2017-12-25,483000,10500940,21.73,21.77,21.7,21.71,0.2,18,,00715L,期街口布蘭特正2
2017-12-26,439000,9559230,21.75,21.79,21.75,21.79,0.08,21,,00715L,期街口布蘭特正2
2017-12-27,689000,15660160,22.72,22.77,22.69,22.76,0.97,48,,00715L,期街口布蘭特正2
2017-12-28,319000,7238500,22.66,22.73,22.64,22.71,-0.05,19,,00715L,期街口布蘭特正2
2017-12-29,332000,7592500,22.73,23.02,22.73,22.98,0.27,25,,00715L,期街口布蘭特正2
2018-01-02,349000,8078580,23.12,23.4,23.12,23.31,0.33,15,,00715L,期街口布蘭特正2
