date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-11-29,4891000,97579740,19.92,19.98,19.92,19.97,0.0,948,,00717,富邦美國特別股
2017-11-30,978000,19519640,19.94,19.98,19.93,19.97,0.0,212,,00717,富邦美國特別股
2017-12-01,1604550,32032813,19.97,19.97,19.95,19.96,-0.01,297,,00717,富邦美國特別股
2017-12-04,833350,16638019,19.96,19.98,19.96,19.97,0.01,126,,00717,富邦美國特別股
2017-12-05,1185020,23659859,19.97,19.97,19.96,19.97,0.0,228,,00717,富邦美國特別股
2017-12-06,1635000,32678690,19.98,20.0,19.97,19.98,0.01,205,,00717,富邦美國特別股
2017-12-07,701000,14010060,19.98,20.0,19.98,19.98,0.0,93,,00717,富邦美國特別股
2017-12-08,924000,18472200,20.0,20.0,19.98,19.98,0.0,78,,00717,富邦美國特別股
2017-12-11,881010,17618780,20.0,20.0,19.99,20.0,0.02,92,,00717,富邦美國特別股
2017-12-12,588000,11758230,20.0,20.0,19.99,19.99,-0.01,139,,00717,富邦美國特別股
2017-12-13,333000,6659340,19.99,20.01,19.99,19.99,0.0,61,,00717,富邦美國特別股
2017-12-14,958000,19158910,19.99,20.01,19.99,20.0,0.01,79,,00717,富邦美國特別股
2017-12-15,818000,16351770,20.0,20.0,19.98,19.98,-0.02,78,,00717,富邦美國特別股
2017-12-18,1020000,20390770,20.0,20.0,19.98,19.99,0.01,65,,00717,富邦美國特別股
2017-12-19,555005,11094769,19.99,20.0,19.99,19.99,0.0,62,,00717,富邦美國特別股
2017-12-20,779000,15574550,19.99,20.0,19.99,19.99,0.0,43,,00717,富邦美國特別股
2017-12-21,1439000,28684720,19.97,19.97,19.91,19.92,-0.07,197,,00717,富邦美國特別股
2017-12-22,1239000,24706240,19.92,19.95,19.92,19.94,0.02,65,,00717,富邦美國特別股
2017-12-25,1100000,21924910,19.93,19.94,19.93,19.94,0.0,57,,00717,富邦美國特別股
2017-12-26,504000,10048310,19.95,19.95,19.93,19.93,-0.01,43,,00717,富邦美國特別股
2017-12-27,570215,11349970,19.93,19.93,19.89,19.89,-0.04,129,,00717,富邦美國特別股
2017-12-28,1044024,20758117,19.89,19.9,19.87,19.87,-0.02,131,,00717,富邦美國特別股
2017-12-29,1694020,33557156,19.85,19.85,19.74,19.76,-0.11,256,,00717,富邦美國特別股
2018-01-02,503150,9907694,19.7,19.75,19.64,19.64,-0.12,163,,00717,富邦美國特別股
2018-01-03,1279050,24990590,19.61,19.61,19.5,19.55,-0.09,266,,00717,富邦美國特別股
2018-01-04,586000,11436800,19.5,19.53,19.5,19.53,-0.02,105,,00717,富邦美國特別股
2018-01-05,1078000,20979100,19.5,19.5,19.43,19.44,-0.09,191,,00717,富邦美國特別股
2018-01-08,388865,7563976,19.47,19.47,19.42,19.45,0.01,122,,00717,富邦美國特別股
2018-01-09,463010,9035836,19.49,19.53,19.49,19.53,0.08,62,,00717,富邦美國特別股
2018-01-10,613217,11988102,19.54,19.56,19.54,19.55,0.02,100,,00717,富邦美國特別股
2018-01-11,463250,9045272,19.54,19.54,19.52,19.53,-0.02,57,,00717,富邦美國特別股
2018-01-12,337000,6590150,19.54,19.57,19.53,19.56,0.03,45,,00717,富邦美國特別股
2018-01-15,367654,7181335,19.54,19.54,19.52,19.52,-0.04,81,,00717,富邦美國特別股
2018-01-16,345000,6736540,19.52,19.54,19.52,19.52,0.0,66,,00717,富邦美國特別股
2018-01-17,301160,5872095,19.51,19.51,19.48,19.5,-0.02,67,,00717,富邦美國特別股
2018-01-18,325769,6343054,19.47,19.49,19.46,19.48,-0.02,60,,00717,富邦美國特別股
2018-01-19,585358,11354730,19.45,19.45,19.36,19.36,-0.12,164,,00717,富邦美國特別股
2018-01-22,2233300,42869929,19.35,19.35,19.03,19.13,-0.23,322,,00717,富邦美國特別股
2018-01-23,501260,9613338,19.14,19.22,19.14,19.17,0.04,95,,00717,富邦美國特別股
2018-01-24,699154,13413971,19.21,19.22,19.17,19.17,0.0,89,,00717,富邦美國特別股
2018-01-25,561352,10744356,19.17,19.17,19.12,19.12,-0.05,106,,00717,富邦美國特別股
2018-01-26,1295001,24694509,19.12,19.12,19.06,19.06,-0.06,200,,00717,富邦美國特別股
2018-01-29,690225,13178758,19.09,19.1,19.08,19.08,0.02,99,,00717,富邦美國特別股
2018-01-30,319552,6108578,19.1,19.13,19.1,19.13,0.05,50,,00717,富邦美國特別股
2018-01-31,993000,18913610,19.11,19.11,18.98,18.98,-0.15,196,,00717,富邦美國特別股
2018-02-01,483100,9175850,18.98,19.01,18.98,18.99,0.01,82,,00717,富邦美國特別股
2018-02-02,553032,10498186,19.0,19.0,18.97,18.98,-0.01,98,,00717,富邦美國特別股
2018-02-05,419616,7946790,18.97,18.97,18.92,18.92,-0.06,105,,00717,富邦美國特別股
2018-02-06,1666817,31346226,18.87,18.87,18.75,18.77,-0.15,238,,00717,富邦美國特別股
2018-02-07,424140,7989483,18.86,18.86,18.8,18.82,0.05,59,,00717,富邦美國特別股
2018-02-08,393207,7412320,18.86,18.88,18.82,18.88,0.06,60,,00717,富邦美國特別股
2018-02-09,436000,8204480,18.85,18.85,18.8,18.8,-0.08,71,,00717,富邦美國特別股
2018-02-12,196258,3698134,18.81,18.88,18.81,18.86,0.06,46,,00717,富邦美國特別股
2018-02-21,543569,10270952,18.88,18.92,18.88,18.9,0.04,110,,00717,富邦美國特別股
2018-02-22,602000,11416900,18.92,19.0,18.92,19.0,0.1,68,,00717,富邦美國特別股
2018-02-23,270740,5144229,18.99,19.02,18.96,19.02,0.02,51,,00717,富邦美國特別股
2018-02-26,186100,3554700,19.11,19.12,19.09,19.09,0.07,44,,00717,富邦美國特別股
2018-02-27,276200,5278350,19.11,19.13,19.1,19.12,0.03,183,,00717,富邦美國特別股
2018-03-01,375000,7179390,19.14,19.17,19.13,19.15,0.03,51,,00717,富邦美國特別股
2018-03-02,374318,7167183,19.14,19.16,19.14,19.16,0.01,81,,00717,富邦美國特別股
2018-03-05,236364,4526289,19.16,19.16,19.14,19.15,-0.01,35,,00717,富邦美國特別股
2018-03-06,259001,4965049,19.16,19.18,19.16,19.18,0.03,44,,00717,富邦美國特別股
2018-03-07,357052,6840764,19.16,19.18,19.15,19.15,-0.03,45,,00717,富邦美國特別股
2018-03-08,415000,7958050,19.15,19.19,19.15,19.18,0.03,64,,00717,富邦美國特別股
2018-03-09,242310,4657112,19.21,19.24,19.2,19.2,0.02,29,,00717,富邦美國特別股
2018-03-12,274000,5257200,19.2,19.2,19.18,19.19,-0.01,55,,00717,富邦美國特別股
2018-03-13,163880,3139892,19.19,19.19,19.14,19.14,-0.05,43,,00717,富邦美國特別股
2018-03-14,679060,13002118,19.14,19.17,19.13,19.15,0.01,72,,00717,富邦美國特別股
2018-03-15,327000,6273670,19.17,19.2,19.15,19.2,0.05,85,,00717,富邦美國特別股
2018-03-16,273162,5233501,19.15,19.17,19.14,19.15,-0.05,79,,00717,富邦美國特別股
2018-03-19,223520,4286147,19.15,19.19,19.15,19.19,0.04,49,,00717,富邦美國特別股
2018-03-20,193513,3704881,19.15,19.15,19.14,19.15,-0.04,47,,00717,富邦美國特別股
2018-03-21,173613,3324479,19.14,19.16,19.14,19.14,-0.01,58,,00717,富邦美國特別股
2018-03-22,215289,4116927,19.12,19.15,19.11,19.12,-0.02,49,,00717,富邦美國特別股
2018-03-23,495358,9455757,19.05,19.11,19.05,19.1,-0.02,112,,00717,富邦美國特別股
2018-03-26,257000,4904050,19.02,19.15,19.02,19.06,-0.04,50,,00717,富邦美國特別股
2018-03-27,279150,5323992,19.06,19.1,19.04,19.07,0.01,97,,00717,富邦美國特別股
2018-03-28,262090,5005778,19.08,19.13,19.08,19.09,0.02,67,,00717,富邦美國特別股
2018-03-29,276000,5273620,19.09,19.13,19.09,19.09,0.0,62,,00717,富邦美國特別股
2018-03-30,592150,11328818,19.11,19.15,19.11,19.12,0.03,77,,00717,富邦美國特別股
2018-03-31,157000,3001090,19.12,19.12,19.1,19.1,-0.02,62,,00717,富邦美國特別股
2018-04-02,376460,7189429,19.1,19.11,19.09,19.09,-0.01,53,,00717,富邦美國特別股
2018-04-03,540153,10309137,19.07,19.1,19.07,19.1,0.01,76,,00717,富邦美國特別股
2018-04-09,366412,7008249,19.14,19.14,19.12,19.12,0.02,76,,00717,富邦美國特別股
2018-04-10,315101,6021199,19.12,19.12,19.1,19.11,-0.01,36,,00717,富邦美國特別股
2018-04-11,312100,5960011,19.1,19.11,19.09,19.09,-0.02,61,,00717,富邦美國特別股
2018-04-12,512152,9781973,19.09,19.12,19.08,19.1,0.01,60,,00717,富邦美國特別股
2018-04-13,856110,16415150,19.12,19.21,19.12,19.2,0.1,86,,00717,富邦美國特別股
2018-04-16,847820,16275859,19.18,19.24,19.18,19.22,0.02,75,,00717,富邦美國特別股
2018-04-17,431156,8294301,19.22,19.25,19.22,19.22,0.0,100,,00717,富邦美國特別股
2018-04-18,239500,4606963,19.24,19.25,19.23,19.25,0.03,89,,00717,富邦美國特別股
2018-04-19,362402,6971989,19.24,19.25,19.22,19.25,0.0,69,,00717,富邦美國特別股
2018-04-20,291220,5600790,19.23,19.25,19.21,19.24,-0.01,55,,00717,富邦美國特別股
2018-04-23,529547,10230292,19.29,19.34,19.29,19.32,0.08,56,,00717,富邦美國特別股
2018-04-24,349002,6766518,19.38,19.4,19.37,19.39,0.07,67,,00717,富邦美國特別股
2018-04-25,347630,6731789,19.36,19.39,19.35,19.36,-0.03,98,,00717,富邦美國特別股
2018-04-26,464000,8989140,19.36,19.39,19.35,19.35,-0.01,85,,00717,富邦美國特別股
2018-04-27,569000,11020320,19.37,19.38,19.34,19.37,0.02,54,,00717,富邦美國特別股
2018-04-30,230051,4447394,19.34,19.34,19.32,19.34,-0.03,61,,00717,富邦美國特別股
2018-05-02,358000,6926220,19.34,19.38,19.33,19.34,0.0,89,,00717,富邦美國特別股
