date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-04-18,3096000,60574350,19.56,19.68,19.47,19.57,-0.22,888,,00728,第一金工業30
2018-04-19,1051000,20807170,19.62,19.93,19.62,19.85,0.28,346,,00728,第一金工業30
2018-04-20,844000,16562660,19.71,19.71,19.55,19.55,-0.3,195,,00728,第一金工業30
2018-04-23,536100,10406140,19.53,19.53,19.33,19.33,-0.22,150,,00728,第一金工業30
2018-04-24,506000,9688350,19.3,19.3,19.01,19.07,-0.26,146,,00728,第一金工業30
2018-04-25,644000,12241940,19.07,19.07,18.95,19.0,-0.07,174,,00728,第一金工業30
2018-04-26,699000,13268960,19.05,19.14,18.85,18.85,-0.15,170,,00728,第一金工業30
2018-04-27,464000,8785740,19.0,19.04,18.87,18.91,0.06,100,,00728,第一金工業30
2018-04-30,536100,10194520,18.97,19.12,18.92,19.12,0.21,102,,00728,第一金工業30
2018-05-02,440050,8429079,19.12,19.19,19.06,19.06,-0.06,77,,00728,第一金工業30
2018-05-03,560000,10616940,19.0,19.01,18.9,18.9,-0.16,79,,00728,第一金工業30
2018-05-04,534000,10084690,18.9,18.94,18.85,18.86,-0.04,71,,00728,第一金工業30
2018-05-07,481000,9099880,18.95,18.96,18.9,18.91,0.05,47,,00728,第一金工業30
2018-05-08,558625,10569800,18.98,18.99,18.9,18.95,0.04,64,,00728,第一金工業30
2018-05-09,901156,17162769,18.97,19.12,18.97,19.12,0.17,137,,00728,第一金工業30
2018-05-10,627153,12019051,19.1,19.23,19.1,19.12,0.0,90,,00728,第一金工業30
2018-05-11,706000,13610610,19.12,19.37,19.12,19.35,0.23,127,,00728,第一金工業30
2018-05-14,905000,17635700,19.4,19.6,19.36,19.56,0.21,190,,00728,第一金工業30
2018-05-15,542000,10544120,19.55,19.58,19.4,19.4,-0.16,80,,00728,第一金工業30
2018-05-16,632050,12242129,19.38,19.4,19.31,19.31,-0.09,68,,00728,第一金工業30
2018-05-17,522000,10096980,19.39,19.39,19.3,19.35,0.04,47,,00728,第一金工業30
2018-05-18,475107,9168275,19.35,19.35,19.2,19.27,-0.08,56,,00728,第一金工業30
2018-05-21,854051,16577168,19.27,19.46,19.27,19.45,0.18,107,,00728,第一金工業30
2018-05-22,601000,11675400,19.49,19.49,19.32,19.33,-0.12,78,,00728,第一金工業30
2018-05-23,549000,10588710,19.31,19.33,19.26,19.31,-0.02,53,,00728,第一金工業30
2018-05-24,565000,10904850,19.31,19.38,19.27,19.38,0.07,44,,00728,第一金工業30
2018-05-25,538000,10400980,19.38,19.38,19.29,19.29,-0.09,51,,00728,第一金工業30
2018-05-28,478000,9216020,19.38,19.38,19.26,19.34,0.05,40,,00728,第一金工業30
2018-05-29,475000,9151680,19.3,19.32,19.21,19.28,-0.06,48,,00728,第一金工業30
