date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-02-08,223000,4430870,19.85,19.96,19.83,19.85,-0.1,70,,00730,富邦臺灣優質高息
2018-02-09,149000,2913400,19.54,19.73,19.34,19.73,-0.12,33,,00730,富邦臺灣優質高息
2018-02-12,592000,11678610,19.76,19.78,19.64,19.64,-0.09,64,,00730,富邦臺灣優質高息
2018-02-21,125000,2493070,19.8,20.0,19.8,20.0,0.36,37,,00730,富邦臺灣優質高息
2018-02-22,175000,3482200,20.0,20.0,19.88,19.89,-0.11,52,,00730,富邦臺灣優質高息
2018-02-23,168000,3365990,20.0,20.1,20.0,20.09,0.2,48,,00730,富邦臺灣優質高息
2018-02-26,165000,3336320,20.24,20.26,20.19,20.24,0.15,68,,00730,富邦臺灣優質高息
2018-02-27,221000,4479620,20.3,20.31,20.21,20.21,-0.03,45,,00730,富邦臺灣優質高息
2018-03-01,158000,3160310,20.21,20.21,19.94,20.06,-0.15,25,,00730,富邦臺灣優質高息
2018-03-02,170000,3386020,20.0,20.0,19.88,19.94,-0.12,57,,00730,富邦臺灣優質高息
2018-03-05,314050,6240590,19.95,19.96,19.8,19.8,-0.14,68,,00730,富邦臺灣優質高息
2018-03-06,107000,2131910,19.96,19.96,19.9,19.93,0.13,28,,00730,富邦臺灣優質高息
2018-03-07,141000,2813750,19.9,19.99,19.9,19.95,0.02,25,,00730,富邦臺灣優質高息
2018-03-08,142000,2842380,20.0,20.04,20.0,20.0,0.05,29,,00730,富邦臺灣優質高息
2018-03-09,105000,2101320,20.05,20.05,20.01,20.01,0.01,9,,00730,富邦臺灣優質高息
2018-03-12,107000,2155120,20.17,20.17,20.11,20.11,0.1,23,,00730,富邦臺灣優質高息
2018-03-13,92000,1856020,20.14,20.19,20.13,20.18,0.07,28,,00730,富邦臺灣優質高息
2018-03-14,104000,2093170,20.13,20.16,20.11,20.13,-0.05,12,,00730,富邦臺灣優質高息
2018-03-15,454000,9160410,20.12,20.27,20.12,20.25,0.12,36,,00730,富邦臺灣優質高息
2018-03-16,827105,16693052,20.25,20.25,20.15,20.21,-0.04,44,,00730,富邦臺灣優質高息
2018-03-19,565000,11427130,20.15,20.25,20.15,20.25,0.04,66,,00730,富邦臺灣優質高息
2018-03-20,521000,10520330,20.15,20.24,20.13,20.24,-0.01,45,,00730,富邦臺灣優質高息
2018-03-21,822000,16623930,20.24,20.24,20.18,20.23,-0.01,57,,00730,富邦臺灣優質高息
2018-03-22,243000,4908870,20.24,20.3,20.11,20.11,-0.12,31,,00730,富邦臺灣優質高息
2018-03-23,203000,4040170,19.98,19.98,19.85,19.9,-0.21,68,,00730,富邦臺灣優質高息
2018-03-26,135000,2690250,19.84,19.96,19.84,19.96,0.06,39,,00730,富邦臺灣優質高息
2018-03-27,86050,1730906,20.1,20.12,20.1,20.12,0.16,15,,00730,富邦臺灣優質高息
2018-03-28,180000,3600620,20.05,20.05,19.97,19.97,-0.15,25,,00730,富邦臺灣優質高息
2018-03-29,122000,2434270,19.98,19.98,19.92,19.96,-0.01,34,,00730,富邦臺灣優質高息
2018-03-30,100000,2004200,20.03,20.09,20.03,20.05,0.09,10,,00730,富邦臺灣優質高息
