date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-04-20,67000,3353890,49.84,50.15,49.84,49.97,-0.13,14,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-23,187000,9323700,49.83,49.93,49.75,49.75,-0.22,24,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-24,101000,5000080,49.39,49.57,49.39,49.48,-0.27,17,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-25,73000,3584730,49.11,49.14,49.08,49.14,-0.34,12,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-26,26000,1281510,49.3,49.3,49.26,49.26,0.12,6,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-27,72000,3552230,49.44,49.44,49.28,49.39,0.13,14,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-04-30,41000,2032720,49.5,49.72,49.5,49.6,0.21,7,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-02,86000,4295420,49.93,50.0,49.88,49.98,0.38,17,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-03,2000,99790,49.89,49.9,49.89,49.9,-0.08,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-04,137000,6781560,49.59,49.59,49.4,49.48,-0.42,22,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-07,51000,2524300,49.48,49.55,49.34,49.54,0.06,10,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-08,50000,2486140,49.55,49.76,49.55,49.74,0.2,15,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-09,50000,2491800,49.8,49.85,49.8,49.83,0.09,6,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-10,50000,2491200,49.85,49.85,49.78,49.85,0.02,10,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-11,32000,1614540,49.99,50.5,49.99,50.35,0.5,7,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-14,1000,50800,50.8,50.8,50.8,50.8,0.45,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-15,1000,50350,50.35,50.35,50.35,50.35,-0.45,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-16,4000,213800,54.6,54.6,50.4,50.4,0.05,4,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-17,1000,50800,50.8,50.8,50.8,50.8,0.4,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-18,31000,1578450,50.8,51.0,50.8,51.0,0.2,7,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-21,20000,1024000,51.1,51.25,51.1,51.25,0.25,4,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-22,1000,50800,50.8,50.8,50.8,50.8,-0.45,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-23,1000,51000,51.0,51.0,51.0,51.0,0.2,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-24,1000,51000,51.0,51.0,51.0,51.0,0.0,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-25,1000,51000,51.0,51.0,51.0,51.0,0.0,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-28,1000,51150,51.15,51.15,51.15,51.15,0.15,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-29,1000,51000,51.0,51.0,51.0,51.0,-0.15,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-30,3000,151500,50.65,50.65,50.4,50.4,-0.6,3,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-05-31,2000,100900,50.35,50.55,50.35,50.55,0.15,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-01,2000,100800,50.35,50.45,50.35,50.45,-0.1,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-04,16000,811400,50.7,50.9,50.7,50.9,0.45,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-05,1000,51250,51.25,51.25,51.25,51.25,0.35,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-06,0,0,,,,,0.0,0,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-07,2000,103000,51.5,51.5,51.5,51.5,0.0,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-08,1000,51300,51.3,51.3,51.3,51.3,-0.2,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-11,0,0,,,,,0.0,0,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-12,3000,153100,51.1,51.1,51.0,51.0,0.0,3,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-13,12000,612500,51.15,51.15,50.9,51.1,0.1,4,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-14,1000,50950,50.95,50.95,50.95,50.95,-0.15,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-15,5000,252650,50.6,50.6,50.35,50.35,-0.6,5,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-19,8000,401630,50.4,50.4,49.97,49.99,-0.36,8,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-20,5000,250650,50.05,50.45,50.05,50.45,0.46,5,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-21,1000,50800,50.8,50.8,50.8,50.8,0.35,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-22,2000,100950,50.45,50.5,50.45,50.5,-0.3,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-25,0,0,,,,,0.0,0,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-26,1000,50600,50.6,50.6,50.6,50.6,0.0,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-27,1000,50800,50.8,50.8,50.8,50.8,0.2,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-28,3000,151500,50.4,50.65,50.4,50.45,-0.35,3,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-06-29,5000,254300,50.4,51.1,50.4,51.1,0.65,5,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-07-02,1000,51100,51.1,51.1,51.1,51.1,0.0,1,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-07-03,3000,153050,51.0,51.1,50.95,51.1,0.0,3,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-07-04,5000,255100,51.0,51.25,50.9,51.25,0.15,5,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-07-05,2000,102000,51.05,51.05,50.95,50.95,-0.3,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
2018-07-06,2000,101250,50.55,50.7,50.55,50.7,-0.25,2,,00731,復華富時高息低波(原簡稱:FH富時高息低波)
