date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-05-17,7849000,155810480,19.96,19.97,19.7,19.75,-0.38,881,,00733,富邦臺灣中小
2018-05-18,3540000,70388050,19.9,19.92,19.73,19.9,0.15,454,,00733,富邦臺灣中小
2018-05-21,8664000,174023940,19.96,20.42,19.96,20.42,0.52,1273,,00733,富邦臺灣中小
2018-05-22,3482000,71553870,20.56,20.7,20.33,20.7,0.28,513,,00733,富邦臺灣中小
2018-05-23,1396000,28545390,20.73,20.73,20.23,20.38,-0.32,274,,00733,富邦臺灣中小
2018-05-24,1771000,35983610,20.45,20.5,20.1,20.38,0.0,182,,00733,富邦臺灣中小
2018-05-25,2692000,55172040,20.54,20.56,20.35,20.49,0.11,165,,00733,富邦臺灣中小
2018-05-28,3039000,62942040,20.7,20.8,20.6,20.75,0.26,418,,00733,富邦臺灣中小
2018-05-29,2765000,57163830,20.75,20.79,20.59,20.59,-0.16,300,,00733,富邦臺灣中小
2018-05-30,2556000,52409180,20.45,20.6,20.38,20.5,-0.09,200,,00733,富邦臺灣中小
2018-05-31,3228000,66969500,20.8,21.01,20.51,20.51,0.01,269,,00733,富邦臺灣中小
2018-06-01,1019000,21101010,20.7,20.8,20.57,20.74,0.23,254,,00733,富邦臺灣中小
2018-06-04,772000,16180940,20.89,21.0,20.88,20.94,0.2,311,,00733,富邦臺灣中小
2018-06-05,1259000,26248020,21.0,21.03,20.59,20.69,-0.25,190,,00733,富邦臺灣中小
2018-06-06,1719000,35976390,20.8,20.98,20.8,20.9,0.21,312,,00733,富邦臺灣中小
2018-06-07,945000,19795200,21.0,21.05,20.83,20.92,0.02,183,,00733,富邦臺灣中小
2018-06-08,857000,17881920,20.9,20.94,20.83,20.85,-0.07,153,,00733,富邦臺灣中小
2018-06-11,1473000,30766870,20.93,20.95,20.84,20.85,0.0,176,,00733,富邦臺灣中小
2018-06-12,332000,6886830,20.92,20.94,20.7,20.74,-0.11,45,,00733,富邦臺灣中小
2018-06-13,238141,4910369,20.81,20.85,20.53,20.67,-0.07,38,,00733,富邦臺灣中小
2018-06-14,126000,2590470,20.67,20.67,20.46,20.46,-0.21,32,,00733,富邦臺灣中小
2018-06-15,95000,1952870,20.65,20.65,20.43,20.61,0.15,13,,00733,富邦臺灣中小
2018-06-19,340000,6984650,20.5,20.61,20.48,20.48,-0.13,34,,00733,富邦臺灣中小
2018-06-20,820000,16387880,20.35,20.35,19.85,20.04,-0.44,176,,00733,富邦臺灣中小
2018-06-21,724000,14535290,20.04,20.16,19.96,19.96,-0.08,83,,00733,富邦臺灣中小
