date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-06-11,3163000,62772540,19.86,19.92,19.75,19.79,0.0,427,,00735,國泰臺韓科技
2018-06-12,1893400,37217286,19.78,19.78,19.56,19.69,-0.1,448,,00735,國泰臺韓科技
2018-06-13,598000,11781390,19.77,19.77,19.63,19.72,0.03,148,,00735,國泰臺韓科技
2018-06-14,487000,9513460,19.63,19.68,19.47,19.5,-0.22,119,,00735,國泰臺韓科技
2018-06-15,427000,8249460,19.49,19.49,19.25,19.35,-0.15,115,,00735,國泰臺韓科技
2018-06-19,283000,5371660,19.34,19.34,18.91,18.98,-0.37,77,,00735,國泰臺韓科技
2018-06-20,205000,3889910,18.98,19.09,18.86,19.06,0.08,58,,00735,國泰臺韓科技
2018-06-21,344000,6565980,19.13,19.14,19.05,19.05,-0.01,49,,00735,國泰臺韓科技
2018-06-22,287000,5441200,18.89,19.0,18.87,18.97,-0.08,29,,00735,國泰臺韓科技
2018-06-25,222000,4183600,18.84,18.92,18.81,18.82,-0.15,50,,00735,國泰臺韓科技
2018-06-26,353000,6595810,18.79,18.79,18.55,18.74,-0.08,54,,00735,國泰臺韓科技
2018-06-27,370000,6983680,18.88,18.94,18.83,18.83,0.09,64,,00735,國泰臺韓科技
2018-06-28,107000,1993990,18.6,18.7,18.55,18.64,-0.19,19,,00735,國泰臺韓科技
2018-06-29,204000,3826710,18.62,18.92,18.62,18.88,0.24,30,,00735,國泰臺韓科技
2018-07-02,106000,2000190,18.9,18.92,18.8,18.8,-0.08,22,,00735,國泰臺韓科技
2018-07-03,192000,3612330,18.93,19.0,18.71,18.71,-0.09,38,,00735,國泰臺韓科技
2018-07-04,262000,4937930,18.93,18.93,18.77,18.93,0.22,27,,00735,國泰臺韓科技
2018-07-05,239000,4488430,18.9,18.9,18.64,18.7,-0.23,31,,00735,國泰臺韓科技
2018-07-06,271000,5048700,18.71,18.71,18.52,18.65,-0.05,19,,00735,國泰臺韓科技
2018-07-09,442000,8414250,18.88,19.1,18.87,19.08,0.43,68,,00735,國泰臺韓科技
2018-07-10,91000,1738950,19.2,19.28,19.08,19.13,0.05,23,,00735,國泰臺韓科技
2018-07-11,320200,6081650,18.99,19.05,18.92,18.92,-0.21,21,,00735,國泰臺韓科技
2018-07-12,285000,5446420,18.92,19.16,18.92,19.13,0.21,31,,00735,國泰臺韓科技
2018-07-13,125000,2413040,19.19,19.34,19.19,19.31,0.18,36,,00735,國泰臺韓科技
2018-07-16,218000,4202760,19.34,19.4,19.23,19.24,-0.07,33,,00735,國泰臺韓科技
2018-07-17,176000,3384030,19.25,19.26,19.17,19.22,-0.02,22,,00735,國泰臺韓科技
2018-07-18,302000,5848750,19.32,19.4,19.26,19.26,0.04,17,,00735,國泰臺韓科技
2018-07-19,272000,5286270,19.38,19.5,19.38,19.41,0.15,62,,00735,國泰臺韓科技
2018-07-20,176000,3440950,19.43,19.61,19.43,19.54,0.13,47,,00735,國泰臺韓科技
2018-07-23,470000,9165230,19.53,19.53,19.42,19.5,-0.04,33,,00735,國泰臺韓科技
2018-07-24,94000,1827560,19.41,19.51,19.41,19.47,-0.03,10,,00735,國泰臺韓科技
2018-07-25,17000,331780,19.5,19.53,19.49,19.49,0.02,11,,00735,國泰臺韓科技
2018-07-26,226000,4434020,19.5,19.69,19.5,19.69,0.2,36,,00735,國泰臺韓科技
2018-07-27,279000,5514020,19.71,19.85,19.7,19.83,0.14,75,,00735,國泰臺韓科技
2018-07-30,196000,3875320,19.85,19.85,19.71,19.78,-0.05,42,,00735,國泰臺韓科技
2018-07-31,98250,1935935,19.68,19.73,19.68,19.7,-0.08,12,,00735,國泰臺韓科技
2018-08-01,101000,2002790,19.78,19.85,19.78,19.85,0.15,34,,00735,國泰臺韓科技
2018-08-02,167060,3278190,19.85,19.85,19.5,19.5,-0.35,26,,00735,國泰臺韓科技
2018-08-03,199000,3901100,19.67,19.67,19.56,19.6,0.1,22,,00735,國泰臺韓科技
2018-08-06,183000,3596690,19.62,19.73,19.6,19.63,0.03,23,,00735,國泰臺韓科技
2018-08-07,393000,7713440,19.63,19.68,19.6,19.65,0.02,35,,00735,國泰臺韓科技
2018-08-08,418050,8274358,19.73,19.84,19.72,19.78,0.13,56,,00735,國泰臺韓科技
2018-08-09,783000,15494620,19.79,19.83,19.73,19.8,0.02,46,,00735,國泰臺韓科技
2018-08-10,554000,10822500,19.53,19.59,19.42,19.47,-0.33,43,,00735,國泰臺韓科技
2018-08-13,347000,6621350,19.28,19.3,19.0,19.08,-0.39,30,,00735,國泰臺韓科技
2018-08-14,134000,2577320,19.19,19.29,19.14,19.25,0.17,17,,00735,國泰臺韓科技
2018-08-15,124000,2361330,19.21,19.21,19.0,19.05,-0.2,10,,00735,國泰臺韓科技
2018-08-16,49000,928350,18.94,19.07,18.8,19.0,-0.05,15,,00735,國泰臺韓科技
2018-08-17,166000,3157140,19.04,19.19,18.98,18.99,-0.01,16,,00735,國泰臺韓科技
2018-08-20,45000,853380,19.0,19.05,18.94,18.94,-0.05,8,,00735,國泰臺韓科技
2018-08-21,229000,4378780,19.17,19.25,19.04,19.2,0.26,26,,00735,國泰臺韓科技
2018-08-22,89000,1716510,19.29,19.34,19.27,19.29,0.09,20,,00735,國泰臺韓科技
2018-08-23,66000,1275550,19.4,19.4,19.3,19.35,0.06,25,,00735,國泰臺韓科技
2018-08-24,64000,1241160,19.34,19.46,19.34,19.46,0.11,19,,00735,國泰臺韓科技
