date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-06-11,1808000,35670480,19.75,19.79,19.66,19.66,-0.21,331,,00736,國泰新興市場
2018-06-12,1744000,34363130,19.72,19.79,19.64,19.67,0.01,386,,00736,國泰新興市場
2018-06-13,772000,15246440,19.71,19.78,19.71,19.76,0.09,105,,00736,國泰新興市場
2018-06-14,469000,9194290,19.65,19.75,19.58,19.59,-0.17,61,,00736,國泰新興市場
2018-06-15,49000,959210,19.6,19.6,19.53,19.56,-0.03,29,,00736,國泰新興市場
2018-06-19,184000,3555580,19.4,19.49,19.27,19.27,-0.29,39,,00736,國泰新興市場
2018-06-20,409000,7869730,19.27,19.31,19.13,19.28,0.01,50,,00736,國泰新興市場
2018-06-21,124000,2393250,19.38,19.38,19.18,19.18,-0.1,21,,00736,國泰新興市場
2018-06-22,244000,4671460,19.31,19.31,19.12,19.18,0.0,24,,00736,國泰新興市場
2018-06-25,489000,9385050,19.1,19.27,19.1,19.15,-0.03,66,,00736,國泰新興市場
2018-06-26,138000,2611540,19.07,19.07,18.87,18.95,-0.2,31,,00736,國泰新興市場
2018-06-27,189000,3586470,19.1,19.1,18.79,18.79,-0.16,28,,00736,國泰新興市場
2018-06-28,429000,8049100,18.68,18.81,18.6,18.78,-0.01,34,,00736,國泰新興市場
2018-06-29,376000,7155650,18.78,19.09,18.78,19.09,0.31,39,,00736,國泰新興市場
2018-07-02,68000,1295880,19.06,19.1,19.03,19.03,-0.06,18,,00736,國泰新興市場
2018-07-03,164000,3117680,19.12,19.13,18.84,18.86,-0.17,35,,00736,國泰新興市場
2018-07-04,232000,4396480,18.86,19.0,18.86,18.93,0.07,25,,00736,國泰新興市場
2018-07-05,99000,1870720,18.92,19.0,18.82,18.87,-0.06,19,,00736,國泰新興市場
2018-07-06,343000,6487960,18.93,19.0,18.8,18.98,0.11,33,,00736,國泰新興市場
2018-07-09,172000,3311490,19.11,19.35,19.11,19.35,0.37,37,,00736,國泰新興市場
2018-07-10,918000,17818840,19.4,19.46,19.35,19.38,0.03,75,,00736,國泰新興市場
2018-07-11,189000,3635770,19.35,19.35,19.07,19.2,-0.18,21,,00736,國泰新興市場
2018-07-12,137000,2637040,19.2,19.34,19.17,19.33,0.13,20,,00736,國泰新興市場
2018-07-13,259000,5035010,19.49,19.49,19.43,19.44,0.11,14,,00736,國泰新興市場
2018-07-16,20000,386080,19.49,19.49,19.25,19.3,-0.14,8,,00736,國泰新興市場
2018-07-17,213000,4098210,19.33,19.33,19.19,19.24,-0.06,11,,00736,國泰新興市場
2018-07-18,97000,1882160,19.4,19.47,19.37,19.37,0.13,17,,00736,國泰新興市場
2018-07-19,130000,2522210,19.42,19.43,19.37,19.37,0.0,16,,00736,國泰新興市場
2018-07-20,60000,1157610,19.37,19.37,19.25,19.35,-0.02,10,,00736,國泰新興市場
2018-07-23,50000,971730,19.43,19.47,19.43,19.47,0.12,9,,00736,國泰新興市場
2018-07-24,289000,5676510,19.47,19.67,19.47,19.65,0.18,33,,00736,國泰新興市場
2018-07-25,121000,2387310,19.65,19.75,19.65,19.73,0.08,39,,00736,國泰新興市場
2018-07-26,156000,3100270,19.75,19.94,19.75,19.89,0.16,46,,00736,國泰新興市場
2018-07-27,261000,5174840,19.87,19.87,19.77,19.83,-0.06,20,,00736,國泰新興市場
2018-07-30,251000,4974810,19.91,19.91,19.78,19.78,-0.05,17,,00736,國泰新興市場
2018-07-31,334000,6606880,19.79,19.8,19.75,19.75,-0.03,18,,00736,國泰新興市場
2018-08-01,344000,6815640,19.7,19.88,19.7,19.81,0.06,25,,00736,國泰新興市場
2018-08-02,374000,7305900,19.7,19.7,19.47,19.47,-0.34,34,,00736,國泰新興市場
2018-08-03,312000,6074840,19.47,19.51,19.47,19.51,0.04,12,,00736,國泰新興市場
2018-08-06,73000,1434520,19.64,19.74,19.6,19.6,0.09,27,,00736,國泰新興市場
2018-08-07,30000,587040,19.54,19.6,19.54,19.54,-0.06,12,,00736,國泰新興市場
2018-08-08,382000,7539940,19.7,19.79,19.7,19.7,0.16,16,,00736,國泰新興市場
2018-08-09,33000,651470,19.65,19.77,19.65,19.75,0.05,11,,00736,國泰新興市場
2018-08-10,162000,3191840,19.71,19.78,19.67,19.67,-0.08,16,,00736,國泰新興市場
2018-08-13,548000,10539100,19.48,19.48,19.08,19.19,-0.48,53,,00736,國泰新興市場
2018-08-14,322000,6164110,19.2,19.2,19.12,19.15,-0.04,10,,00736,國泰新興市場
2018-08-15,304000,5764180,19.15,19.15,18.96,18.97,-0.18,9,,00736,國泰新興市場
2018-08-16,427000,8021720,18.88,18.88,18.64,18.78,-0.19,15,,00736,國泰新興市場
2018-08-17,403000,7612890,18.98,18.98,18.89,18.93,0.15,5,,00736,國泰新興市場
2018-08-20,389000,7360790,18.9,18.93,18.88,18.93,0.0,16,,00736,國泰新興市場
2018-08-21,464000,8844660,19.04,19.12,19.01,19.12,0.19,22,,00736,國泰新興市場
2018-08-22,452000,8658240,19.14,19.2,19.02,19.2,0.08,30,,00736,國泰新興市場
2018-08-23,325000,6243970,19.29,19.3,19.17,19.21,0.01,17,,00736,國泰新興市場
2018-08-24,389000,7436770,19.1,19.14,19.08,19.1,-0.11,23,,00736,國泰新興市場
2018-08-27,392000,7599170,19.09,19.4,19.09,19.4,0.3,17,,00736,國泰新興市場
2018-08-28,371000,7257990,19.47,19.6,19.47,19.54,0.14,21,,00736,國泰新興市場
2018-08-29,342000,6672000,19.53,19.53,19.47,19.5,-0.04,8,,00736,國泰新興市場
2018-08-30,213000,4154300,19.56,19.59,19.5,19.5,0.0,9,,00736,國泰新興市場
2018-08-31,475000,9078600,19.13,19.17,19.05,19.1,-0.4,25,,00736,國泰新興市場
2018-09-03,372000,7106140,19.15,19.18,19.06,19.07,-0.03,14,,00736,國泰新興市場
2018-09-04,306000,5840160,19.14,19.14,19.07,19.14,0.07,17,,00736,國泰新興市場
2018-09-05,309000,5830930,18.99,18.99,18.83,18.89,-0.25,19,,00736,國泰新興市場
2018-09-06,265000,4939800,18.67,18.72,18.63,18.63,-0.26,26,,00736,國泰新興市場
2018-09-07,526000,9809370,18.66,18.72,18.6,18.67,0.04,29,,00736,國泰新興市場
2018-09-10,614000,11434310,18.78,18.78,18.57,18.62,-0.05,35,,00736,國泰新興市場
2018-09-11,418000,7712620,18.55,18.55,18.45,18.5,-0.12,18,,00736,國泰新興市場
2018-09-12,172000,3168370,18.4,18.44,18.35,18.4,-0.1,19,,00736,國泰新興市場
2018-09-13,204000,3778090,18.43,18.59,18.43,18.52,0.12,7,,00736,國泰新興市場
2018-09-14,250000,4681350,18.66,18.75,18.66,18.74,0.22,20,,00736,國泰新興市場
2018-09-17,237000,4425880,18.78,18.78,18.62,18.69,-0.05,14,,00736,國泰新興市場
2018-09-18,362000,6732030,18.58,18.65,18.58,18.6,-0.09,14,,00736,國泰新興市場
2018-09-19,450000,8457020,18.8,18.83,18.7,18.83,0.23,26,,00736,國泰新興市場
2018-09-20,470000,8897750,18.97,19.02,18.9,18.9,0.07,12,,00736,國泰新興市場
2018-09-21,102000,1949910,19.16,19.16,19.04,19.15,0.25,24,,00736,國泰新興市場
2018-09-25,56000,1068580,19.14,19.14,19.08,19.1,-0.05,8,,00736,國泰新興市場
2018-09-26,116000,2216970,19.1,19.18,19.1,19.14,0.04,15,,00736,國泰新興市場
2018-09-27,117000,2241110,19.22,19.22,19.09,19.14,0.0,11,,00736,國泰新興市場
2018-09-28,94000,1802540,19.31,19.31,19.16,19.16,0.02,27,,00736,國泰新興市場
2018-10-01,58000,1105890,19.16,19.16,19.04,19.14,-0.02,8,,00736,國泰新興市場
2018-10-02,208000,3932970,19.22,19.22,18.85,18.85,-0.29,19,,00736,國泰新興市場
2018-10-03,225000,4225560,18.99,19.02,18.69,18.91,0.06,28,,00736,國泰新興市場
2018-10-04,247000,4604540,19.0,19.0,18.57,18.57,-0.34,21,,00736,國泰新興市場
2018-10-05,53000,985830,18.6,18.66,18.57,18.6,0.03,5,,00736,國泰新興市場
2018-10-08,245000,4565800,18.64,18.72,18.51,18.54,-0.06,18,,00736,國泰新興市場
2018-10-09,47000,870120,18.54,18.54,18.5,18.54,0.0,8,,00736,國泰新興市場
2018-10-11,114000,2058570,18.4,18.4,17.81,18.07,-0.47,32,,00736,國泰新興市場
2018-10-12,284000,5126080,18.03,18.27,18.0,18.27,0.2,40,,00736,國泰新興市場
2018-10-15,204000,3712880,18.39,18.39,18.15,18.21,-0.06,19,,00736,國泰新興市場
2018-10-16,65000,1182190,18.23,18.31,18.18,18.24,0.03,9,,00736,國泰新興市場
2018-10-17,82000,1514490,18.51,18.51,18.38,18.5,0.26,12,,00736,國泰新興市場
2018-10-18,72000,1316200,18.35,18.35,18.25,18.35,-0.15,5,,00736,國泰新興市場
2018-10-19,54000,980670,18.12,18.2,18.12,18.2,-0.15,6,,00736,國泰新興市場
2018-10-22,207000,3821090,18.33,18.5,18.33,18.5,0.3,10,,00736,國泰新興市場
2018-10-23,77000,1404040,18.26,18.26,18.17,18.26,-0.24,7,,00736,國泰新興市場
