date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-07-02,1069000,20898490,19.6,19.65,19.49,19.49,-0.1,316,,00737,國泰AI機器人
2018-07-03,1551000,30386660,19.57,19.64,19.55,19.56,0.07,277,,00737,國泰AI機器人
2018-07-04,672000,13114280,19.56,19.6,19.47,19.51,-0.05,268,,00737,國泰AI機器人
2018-07-05,831000,16156840,19.54,19.54,19.4,19.4,-0.11,264,,00737,國泰AI機器人
2018-07-06,1341000,26231850,19.5,19.61,19.49,19.58,0.18,259,,00737,國泰AI機器人
2018-07-09,1194150,23617870,19.72,19.8,19.71,19.8,0.22,307,,00737,國泰AI機器人
2018-07-10,785250,15656347,19.9,19.97,19.9,19.95,0.15,243,,00737,國泰AI機器人
2018-07-11,903000,17939710,19.87,19.92,19.8,19.86,-0.09,218,,00737,國泰AI機器人
2018-07-12,810099,16127548,19.87,19.97,19.84,19.97,0.11,179,,00737,國泰AI機器人
2018-07-13,1274248,25668608,20.1,20.19,20.09,20.18,0.21,389,,00737,國泰AI機器人
2018-07-16,989049,19963339,20.2,20.25,20.15,20.15,-0.03,246,,00737,國泰AI機器人
2018-07-17,570438,11452960,20.15,20.17,20.03,20.08,-0.07,184,,00737,國泰AI機器人
2018-07-18,1277804,25905850,20.2,20.3,20.2,20.26,0.18,342,,00737,國泰AI機器人
2018-07-19,1871000,38134300,20.35,20.46,20.3,20.36,0.1,347,,00737,國泰AI機器人
2018-07-20,1423400,29047307,20.47,20.47,20.29,20.42,0.06,298,,00737,國泰AI機器人
2018-07-23,972050,19748750,20.35,20.35,20.26,20.34,-0.08,198,,00737,國泰AI機器人
2018-07-24,2597331,53195498,20.41,20.54,20.41,20.51,0.17,984,,00737,國泰AI機器人
2018-07-25,2131100,43387830,20.51,20.51,20.3,20.32,-0.19,746,,00737,國泰AI機器人
2018-07-26,1824150,37230120,20.33,20.5,20.31,20.38,0.06,327,,00737,國泰AI機器人
2018-07-27,1506658,31002257,20.5,20.62,20.49,20.61,0.23,460,,00737,國泰AI機器人
2018-07-30,975200,19900330,20.6,20.6,20.33,20.4,-0.21,396,,00737,國泰AI機器人
2018-07-31,1479000,29772180,20.18,20.18,20.09,20.16,-0.24,604,,00737,國泰AI機器人
2018-08-01,628450,12724345,20.24,20.29,20.23,20.23,0.07,244,,00737,國泰AI機器人
2018-08-02,1189100,24032053,20.28,20.31,20.16,20.16,-0.07,283,,00737,國泰AI機器人
2018-08-03,2275200,46600920,20.39,20.51,20.39,20.49,0.33,461,,00737,國泰AI機器人
2018-08-06,550300,11269685,20.49,20.52,20.44,20.46,-0.03,215,,00737,國泰AI機器人
2018-08-07,691388,14173297,20.47,20.53,20.45,20.52,0.06,195,,00737,國泰AI機器人
2018-08-08,1294000,26767090,20.55,20.72,20.55,20.7,0.18,347,,00737,國泰AI機器人
2018-08-09,868800,18068165,20.8,20.84,20.74,20.8,0.1,342,,00737,國泰AI機器人
2018-08-10,718766,14976638,20.81,20.88,20.8,20.8,0.0,302,,00737,國泰AI機器人
2018-08-13,2236300,46261512,20.8,20.8,20.6,20.7,-0.1,494,,00737,國泰AI機器人
2018-08-14,729233,15162016,20.73,20.85,20.72,20.82,0.12,183,,00737,國泰AI機器人
2018-08-15,815000,16992660,20.82,20.91,20.82,20.82,0.0,269,,00737,國泰AI機器人
2018-08-16,1132195,23439643,20.82,20.82,20.63,20.72,-0.1,478,,00737,國泰AI機器人
2018-08-17,627000,12998440,20.73,20.76,20.69,20.69,-0.03,256,,00737,國泰AI機器人
2018-08-20,1090575,22641662,20.72,20.8,20.72,20.75,0.06,161,,00737,國泰AI機器人
2018-08-21,898000,18665010,20.75,20.82,20.75,20.8,0.05,163,,00737,國泰AI機器人
2018-08-22,1360800,28553420,20.86,21.04,20.86,21.0,0.2,362,,00737,國泰AI機器人
2018-08-23,1261150,26671435,21.11,21.2,21.1,21.15,0.15,427,,00737,國泰AI機器人
2018-08-24,1185000,25200450,21.2,21.3,21.2,21.29,0.14,414,,00737,國泰AI機器人
2018-08-27,3081100,66429227,21.53,21.66,21.47,21.65,0.36,793,,00737,國泰AI機器人
2018-08-28,1688293,36588963,21.66,21.74,21.6,21.62,-0.03,636,,00737,國泰AI機器人
2018-08-29,2084000,45465720,21.76,21.85,21.76,21.84,0.22,530,,00737,國泰AI機器人
2018-08-30,2369000,51968740,21.86,21.98,21.86,21.98,0.14,558,,00737,國泰AI機器人
2018-08-31,1365000,29863830,21.94,21.94,21.83,21.93,-0.05,513,,00737,國泰AI機器人
2018-09-03,2454230,53811854,21.98,22.0,21.9,21.94,0.01,484,,00737,國泰AI機器人
2018-09-04,2367206,52344838,22.0,22.35,22.0,22.3,0.36,725,,00737,國泰AI機器人
2018-09-05,3969490,86774568,21.99,21.99,21.75,21.78,-0.52,1453,,00737,國泰AI機器人
2018-09-06,2112300,45641035,21.72,21.72,21.54,21.63,-0.15,614,,00737,國泰AI機器人
2018-09-07,2803000,60033660,21.58,21.58,21.29,21.45,-0.18,833,,00737,國泰AI機器人
2018-09-10,1319245,28346902,21.43,21.54,21.42,21.47,0.02,391,,00737,國泰AI機器人
2018-09-11,1492415,32296210,21.49,21.72,21.49,21.71,0.24,393,,00737,國泰AI機器人
2018-09-12,693100,15077478,21.8,21.81,21.71,21.73,0.02,288,,00737,國泰AI機器人
2018-09-13,950375,20682187,21.78,21.79,21.73,21.79,0.06,239,,00737,國泰AI機器人
2018-09-14,980200,21494080,21.87,21.95,21.87,21.94,0.15,302,,00737,國泰AI機器人
2018-09-17,679100,14915090,21.99,22.0,21.95,21.98,0.04,185,,00737,國泰AI機器人
2018-09-18,1403086,30552252,21.77,21.83,21.71,21.81,-0.17,367,,00737,國泰AI機器人
2018-09-19,566190,12411525,21.89,21.94,21.89,21.93,0.12,203,,00737,國泰AI機器人
2018-09-20,796000,17430210,21.95,21.95,21.87,21.9,-0.03,192,,00737,國泰AI機器人
2018-09-21,943050,20707135,21.95,21.97,21.94,21.97,0.07,218,,00737,國泰AI機器人
2018-09-25,858000,18757760,21.89,21.89,21.83,21.88,-0.09,252,,00737,國泰AI機器人
2018-09-26,1727995,37866710,21.9,22.0,21.84,21.85,-0.03,671,,00737,國泰AI機器人
2018-09-27,1457447,31660360,21.84,21.84,21.67,21.69,-0.16,525,,00737,國泰AI機器人
2018-09-28,1397200,30179030,21.67,21.67,21.56,21.57,-0.12,495,,00737,國泰AI機器人
2018-10-01,818470,17822040,21.67,21.81,21.67,21.79,0.22,198,,00737,國泰AI機器人
2018-10-02,817000,17675620,21.71,21.73,21.61,21.63,-0.16,270,,00737,國泰AI機器人
2018-10-03,832044,17944260,21.6,21.62,21.53,21.54,-0.09,215,,00737,國泰AI機器人
2018-10-04,892000,19165710,21.54,21.54,21.45,21.5,-0.04,247,,00737,國泰AI機器人
2018-10-05,1963000,41546880,21.31,21.31,21.1,21.17,-0.33,606,,00737,國泰AI機器人
2018-10-08,1696100,35477450,20.99,20.99,20.87,20.9,-0.27,428,,00737,國泰AI機器人
2018-10-09,1121198,23174457,20.78,20.78,20.62,20.69,-0.21,354,,00737,國泰AI機器人
2018-10-11,2776200,54182920,19.8,19.85,19.4,19.49,-1.2,1113,,00737,國泰AI機器人
2018-10-12,2490959,49048071,19.48,20.26,19.48,20.1,0.61,909,,00737,國泰AI機器人
2018-10-15,1515452,29942467,20.05,20.05,19.65,19.88,-0.22,545,,00737,國泰AI機器人
2018-10-16,962000,19119290,19.83,19.92,19.83,19.88,0.0,300,,00737,國泰AI機器人
2018-10-17,752956,15129344,20.13,20.17,20.05,20.05,0.17,305,,00737,國泰AI機器人
2018-10-18,929249,18562144,20.04,20.04,19.94,19.99,-0.06,183,,00737,國泰AI機器人
2018-10-19,1036000,20503890,19.86,19.86,19.72,19.85,-0.14,280,,00737,國泰AI機器人
2018-10-22,977000,19190500,19.66,19.77,19.55,19.74,-0.11,394,,00737,國泰AI機器人
2018-10-23,973376,19072110,19.69,19.69,19.55,19.59,-0.15,329,,00737,國泰AI機器人
2018-10-24,974999,19063989,19.61,19.65,19.5,19.53,-0.06,322,,00737,國泰AI機器人
2018-10-25,1343000,25564760,19.3,19.3,18.95,19.03,-0.5,546,,00737,國泰AI機器人
2018-10-26,853200,16198990,19.12,19.18,18.91,18.92,-0.11,415,,00737,國泰AI機器人
2018-10-29,1009396,19057766,18.92,19.08,18.83,18.86,-0.06,304,,00737,國泰AI機器人
2018-10-30,691165,12917416,18.8,18.86,18.58,18.78,-0.08,201,,00737,國泰AI機器人
2018-10-31,644000,12228150,18.9,19.06,18.89,19.03,0.25,205,,00737,國泰AI機器人
2018-11-01,948150,18364450,19.28,19.42,19.28,19.41,0.38,298,,00737,國泰AI機器人
2018-11-02,1102000,21667500,19.57,19.79,19.56,19.75,0.34,345,,00737,國泰AI機器人
2018-11-05,587496,11512550,19.68,19.68,19.56,19.6,-0.15,114,,00737,國泰AI機器人
2018-11-06,535600,10471270,19.6,19.6,19.53,19.54,-0.06,82,,00737,國泰AI機器人
2018-11-07,598651,11798692,19.6,19.76,19.6,19.73,0.19,113,,00737,國泰AI機器人
2018-11-08,860200,17155360,19.89,19.99,19.89,19.92,0.19,237,,00737,國泰AI機器人
2018-11-09,646000,12793570,19.85,19.89,19.78,19.82,-0.1,123,,00737,國泰AI機器人
2018-11-12,511120,10083930,19.76,19.76,19.7,19.71,-0.11,67,,00737,國泰AI機器人
2018-11-13,913468,17571618,19.4,19.4,19.12,19.32,-0.39,235,,00737,國泰AI機器人
2018-11-14,678150,13047890,19.27,19.28,19.21,19.24,-0.08,158,,00737,國泰AI機器人
2018-11-15,882098,16826470,19.22,19.22,19.03,19.13,-0.11,206,,00737,國泰AI機器人
2018-11-16,585100,11261855,19.27,19.27,19.21,19.22,0.09,100,,00737,國泰AI機器人
2018-11-19,492562,9489679,19.22,19.3,19.2,19.29,0.07,73,,00737,國泰AI機器人
2018-11-20,1241201,23548269,19.07,19.07,18.85,18.98,-0.31,456,,00737,國泰AI機器人
2018-11-21,1774999,33096770,18.7,18.73,18.53,18.65,-0.33,731,,00737,國泰AI機器人
2018-11-22,999257,18670213,18.76,18.76,18.64,18.73,0.08,298,,00737,國泰AI機器人
2018-11-23,885000,16511080,18.73,18.73,18.63,18.67,-0.06,202,,00737,國泰AI機器人
2018-11-26,588342,11035760,18.72,18.8,18.7,18.78,0.11,137,,00737,國泰AI機器人
2018-11-27,834575,15777545,18.79,19.0,18.79,19.0,0.22,195,,00737,國泰AI機器人
2018-11-28,477300,9040115,19.0,19.0,18.91,18.95,-0.05,172,,00737,國泰AI機器人
2018-11-29,871150,16766917,19.3,19.33,19.13,19.25,0.3,272,,00737,國泰AI機器人
2018-11-30,317200,6138480,19.22,19.38,19.22,19.36,0.11,131,,00737,國泰AI機器人
2018-12-03,816050,16082966,19.58,19.78,19.58,19.73,0.37,321,,00737,國泰AI機器人
2018-12-04,482426,9481522,19.67,19.7,19.61,19.61,-0.12,160,,00737,國泰AI機器人
2018-12-05,436800,8438320,19.31,19.37,19.22,19.36,-0.25,166,,00737,國泰AI機器人
2018-12-06,1312500,24848770,19.41,19.41,18.81,18.83,-0.53,469,,00737,國泰AI機器人
2018-12-07,163288,3103538,18.83,19.05,18.83,19.02,0.19,103,,00737,國泰AI機器人
