date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-06-01,1138000,22550180,19.88,19.88,19.78,19.78,-0.2,240,,00738U,期元大道瓊白銀
2018-06-04,445000,8795890,19.78,19.79,19.74,19.74,-0.04,96,,00738U,期元大道瓊白銀
2018-06-05,136000,2687280,19.75,19.78,19.73,19.73,-0.01,54,,00738U,期元大道瓊白銀
2018-06-06,407000,8092290,19.88,19.9,19.87,19.89,0.16,151,,00738U,期元大道瓊白銀
2018-06-07,567000,11367760,20.05,20.06,20.03,20.05,0.16,250,,00738U,期元大道瓊白銀
2018-06-08,402000,8073420,20.1,20.1,20.05,20.05,0.0,84,,00738U,期元大道瓊白銀
2018-06-11,719000,14573880,20.19,20.35,20.17,20.32,0.27,117,,00738U,期元大道瓊白銀
2018-06-12,364000,7393910,20.33,20.33,20.28,20.3,-0.02,107,,00738U,期元大道瓊白銀
2018-06-13,80000,1620260,20.28,20.28,20.22,20.23,-0.07,34,,00738U,期元大道瓊白銀
2018-06-14,380000,7768700,20.45,20.48,20.4,20.48,0.25,57,,00738U,期元大道瓊白銀
2018-06-15,332000,6867910,20.61,20.74,20.61,20.68,0.2,73,,00738U,期元大道瓊白銀
2018-06-19,377000,7505190,19.91,19.94,19.87,19.87,-0.81,105,,00738U,期元大道瓊白銀
2018-06-20,583000,11483520,19.71,19.72,19.66,19.69,-0.18,65,,00738U,期元大道瓊白銀
2018-06-21,235000,4604920,19.64,19.64,19.55,19.55,-0.14,58,,00738U,期元大道瓊白銀
2018-06-22,382000,7518560,19.69,19.72,19.68,19.7,0.15,26,,00738U,期元大道瓊白銀
2018-06-25,35000,691680,19.81,19.81,19.7,19.7,0.0,24,,00738U,期元大道瓊白銀
2018-06-26,192000,3780760,19.7,19.71,19.66,19.66,-0.04,21,,00738U,期元大道瓊白銀
2018-06-27,76000,1486020,19.63,19.63,19.51,19.55,-0.11,32,,00738U,期元大道瓊白銀
2018-06-28,183000,3553310,19.42,19.43,19.4,19.4,-0.15,32,,00738U,期元大道瓊白銀
2018-06-29,499000,9620180,19.29,19.43,19.25,19.43,0.03,29,,00738U,期元大道瓊白銀
2018-07-02,428000,8256620,19.39,19.39,19.26,19.26,-0.17,34,,00738U,期元大道瓊白銀
2018-07-03,498000,9484260,19.1,19.1,19.0,19.0,-0.26,52,,00738U,期元大道瓊白銀
2018-07-04,198000,3828170,19.3,19.38,19.3,19.35,0.35,44,,00738U,期元大道瓊白銀
2018-07-05,177000,3420810,19.37,19.37,19.3,19.3,-0.05,17,,00738U,期元大道瓊白銀
2018-07-06,32000,615470,19.3,19.3,19.2,19.24,-0.06,12,,00738U,期元大道瓊白銀
2018-07-09,3000,57990,19.3,19.36,19.3,19.36,0.12,3,,00738U,期元大道瓊白銀
2018-07-10,40000,775140,19.36,19.41,19.36,19.36,0.0,17,,00738U,期元大道瓊白銀
2018-07-11,9000,172290,19.16,19.16,19.14,19.15,-0.21,5,,00738U,期元大道瓊白銀
2018-07-12,71000,1348610,18.96,19.05,18.95,19.05,-0.1,18,,00738U,期元大道瓊白銀
2018-07-13,14000,268560,19.18,19.19,19.16,19.16,0.11,6,,00738U,期元大道瓊白銀
2018-07-16,56000,1066280,19.04,19.06,19.01,19.06,-0.1,14,,00738U,期元大道瓊白銀
2018-07-17,260000,4927850,18.97,19.0,18.95,19.0,-0.06,26,,00738U,期元大道瓊白銀
2018-07-18,709000,13289600,18.74,18.76,18.71,18.71,-0.29,78,,00738U,期元大道瓊白銀
2018-07-19,484000,8998010,18.7,18.7,18.57,18.59,-0.12,40,,00738U,期元大道瓊白銀
2018-07-20,115000,2111720,18.41,18.45,18.3,18.45,-0.14,44,,00738U,期元大道瓊白銀
2018-07-23,42000,784210,18.7,18.7,18.65,18.65,0.2,21,,00738U,期元大道瓊白銀
2018-07-24,45000,830720,18.49,18.49,18.44,18.47,-0.18,20,,00738U,期元大道瓊白銀
2018-07-25,21000,390510,18.57,18.62,18.57,18.62,0.15,13,,00738U,期元大道瓊白銀
