date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-06-27,15669400,304950910,19.69,19.69,19.1,19.1,-0.68,4011,,00739,元大MSCI A股
2018-06-28,7868600,149803805,18.98,19.2,18.93,19.06,-0.04,1767,,00739,元大MSCI A股
2018-06-29,4961000,94507050,19.19,19.2,18.92,19.2,0.14,1354,,00739,元大MSCI A股
2018-07-02,4190000,79832790,19.27,19.29,18.89,18.89,-0.31,1533,,00739,元大MSCI A股
2018-07-03,7939000,147399760,18.8,18.83,18.31,18.4,-0.49,2080,,00739,元大MSCI A股
2018-07-04,3038000,56312670,18.54,18.65,18.43,18.55,0.15,760,,00739,元大MSCI A股
2018-07-05,3403000,63059310,18.57,18.71,18.4,18.46,-0.09,706,,00739,元大MSCI A股
2018-07-06,4413000,81329580,18.63,18.66,18.22,18.66,0.2,1201,,00739,元大MSCI A股
2018-07-09,2678000,50320700,18.66,18.88,18.63,18.88,0.22,766,,00739,元大MSCI A股
2018-07-10,2277800,43212103,18.97,19.05,18.89,18.89,0.01,606,,00739,元大MSCI A股
2018-07-11,2016000,37589900,18.79,18.79,18.5,18.69,-0.2,477,,00739,元大MSCI A股
2018-07-12,3370100,63799600,18.69,19.14,18.66,19.12,0.43,720,,00739,元大MSCI A股
2018-07-13,1799000,34448550,19.2,19.21,19.05,19.13,0.01,529,,00739,元大MSCI A股
2018-07-16,2129149,40508431,19.16,19.22,18.91,18.92,-0.21,553,,00739,元大MSCI A股
2018-07-17,2826000,53160080,18.92,19.0,18.78,18.82,-0.1,485,,00739,元大MSCI A股
2018-07-18,2248000,42641600,18.9,19.06,18.87,18.95,0.13,1213,,00739,元大MSCI A股
2018-07-19,2850000,53682490,18.94,18.98,18.78,18.82,-0.13,581,,00739,元大MSCI A股
2018-07-20,3579000,66626550,18.89,18.89,18.5,18.78,-0.04,928,,00739,元大MSCI A股
2018-07-23,3507000,66671210,18.94,19.18,18.88,19.13,0.35,1471,,00739,元大MSCI A股
2018-07-24,7170770,138762864,19.14,19.47,19.06,19.41,0.28,2230,,00739,元大MSCI A股
2018-07-25,3027230,58797906,19.46,19.48,19.36,19.36,-0.05,548,,00739,元大MSCI A股
2018-07-26,2404000,46460360,19.42,19.49,19.21,19.21,-0.15,510,,00739,元大MSCI A股
2018-07-27,2400000,46012130,19.21,19.26,19.11,19.18,-0.03,364,,00739,元大MSCI A股
2018-07-30,3290000,62632710,19.15,19.19,18.92,18.92,-0.26,666,,00739,元大MSCI A股
2018-07-31,1229000,23363320,18.95,19.09,18.94,19.01,0.09,244,,00739,元大MSCI A股
2018-08-01,1693188,32272009,19.2,19.22,18.96,18.97,-0.04,446,,00739,元大MSCI A股
2018-08-02,7399300,136727310,18.82,18.82,18.23,18.3,-0.67,2289,,00739,元大MSCI A股
2018-08-03,4963000,90464440,18.41,18.42,18.12,18.21,-0.09,1194,,00739,元大MSCI A股
2018-08-06,4761149,85939125,18.17,18.23,17.97,18.05,-0.16,1269,,00739,元大MSCI A股
2018-08-07,4556000,81690920,17.99,18.05,17.82,17.98,-0.07,1177,,00739,元大MSCI A股
2018-08-08,1816000,32979210,18.18,18.25,18.08,18.1,0.12,564,,00739,元大MSCI A股
2018-08-09,2737000,50011170,18.04,18.42,17.96,18.38,0.28,981,,00739,元大MSCI A股
2018-08-10,2301000,42346640,18.38,18.5,18.26,18.26,-0.12,697,,00739,元大MSCI A股
2018-08-13,3681000,66473970,18.2,18.24,18.0,18.11,-0.15,784,,00739,元大MSCI A股
2018-08-14,1513000,27466280,18.21,18.26,18.08,18.1,-0.01,418,,00739,元大MSCI A股
2018-08-15,3563000,63981300,18.15,18.18,17.87,17.89,-0.21,1020,,00739,元大MSCI A股
2018-08-16,4081100,72356928,17.8,17.89,17.62,17.79,-0.1,950,,00739,元大MSCI A股
2018-08-17,4593200,81337092,17.95,17.95,17.6,17.6,-0.19,1306,,00739,元大MSCI A股
2018-08-20,5430140,95207847,17.63,17.72,17.44,17.44,-0.16,1013,,00739,元大MSCI A股
2018-08-21,5742000,102559350,17.7,17.98,17.65,17.94,0.5,857,,00739,元大MSCI A股
2018-08-22,1055000,18883830,18.0,18.0,17.81,17.9,-0.04,297,,00739,元大MSCI A股
2018-08-23,2076000,36968810,17.9,18.0,17.72,17.86,-0.04,439,,00739,元大MSCI A股
2018-08-24,1107000,19712290,17.81,17.9,17.73,17.9,0.04,236,,00739,元大MSCI A股
2018-08-27,4217000,76637550,17.99,18.35,17.99,18.34,0.44,805,,00739,元大MSCI A股
2018-08-28,2688000,49502820,18.42,18.5,18.35,18.36,0.02,755,,00739,元大MSCI A股
2018-08-29,970055,17807313,18.36,18.43,18.32,18.34,-0.02,214,,00739,元大MSCI A股
2018-08-30,1217000,22173880,18.37,18.39,18.11,18.15,-0.19,401,,00739,元大MSCI A股
2018-08-31,1997000,35890890,18.0,18.12,17.88,18.1,-0.05,522,,00739,元大MSCI A股
2018-09-03,1259000,22547100,18.1,18.1,17.84,17.86,-0.24,362,,00739,元大MSCI A股
2018-09-04,1433152,25754717,17.96,18.08,17.9,18.08,0.22,213,,00739,元大MSCI A股
2018-09-05,1224000,22067720,18.13,18.13,17.91,17.98,-0.1,447,,00739,元大MSCI A股
2018-09-06,2163152,38477630,17.89,17.89,17.72,17.75,-0.23,905,,00739,元大MSCI A股
2018-09-07,2655000,47019320,17.74,17.93,17.56,17.74,-0.01,551,,00739,元大MSCI A股
2018-09-10,1291299,22755014,17.74,17.77,17.57,17.61,-0.13,426,,00739,元大MSCI A股
2018-09-11,1963000,34424150,17.61,17.62,17.47,17.5,-0.11,725,,00739,元大MSCI A股
2018-09-12,1398396,24302698,17.5,17.5,17.33,17.37,-0.13,508,,00739,元大MSCI A股
2018-09-13,1473304,25741036,17.42,17.62,17.38,17.43,0.06,612,,00739,元大MSCI A股
2018-09-14,1784104,31383801,17.55,17.67,17.54,17.57,0.14,269,,00739,元大MSCI A股
2018-09-17,627000,10962530,17.57,17.57,17.45,17.47,-0.1,190,,00739,元大MSCI A股
2018-09-18,650000,11329210,17.43,17.54,17.33,17.49,0.02,214,,00739,元大MSCI A股
2018-09-19,3418000,60889530,17.69,17.93,17.64,17.93,0.44,626,,00739,元大MSCI A股
2018-09-20,1066000,19155510,17.91,18.01,17.91,17.93,0.0,282,,00739,元大MSCI A股
2018-09-21,2467300,44770563,18.01,18.29,17.94,18.28,0.35,511,,00739,元大MSCI A股
2018-09-25,1256500,22877505,18.19,18.29,18.14,18.14,-0.14,246,,00739,元大MSCI A股
2018-09-26,2338968,43124667,18.15,18.56,18.15,18.55,0.41,662,,00739,元大MSCI A股
2018-09-27,936000,17225440,18.5,18.54,18.3,18.39,-0.16,280,,00739,元大MSCI A股
2018-09-28,1603240,29595706,18.4,18.52,18.33,18.49,0.1,322,,00739,元大MSCI A股
2018-10-01,437000,8032320,18.47,18.47,18.35,18.4,-0.09,321,,00739,元大MSCI A股
2018-10-02,422364,7702596,18.4,18.4,18.17,18.17,-0.23,209,,00739,元大MSCI A股
2018-10-03,699149,12644751,18.17,18.17,18.04,18.07,-0.1,230,,00739,元大MSCI A股
2018-10-04,1026201,18347819,18.14,18.14,17.8,17.86,-0.21,555,,00739,元大MSCI A股
2018-10-05,1323000,23473900,17.84,17.84,17.68,17.73,-0.13,365,,00739,元大MSCI A股
2018-10-08,1530110,27477511,17.75,18.1,17.75,17.93,0.2,477,,00739,元大MSCI A股
2018-10-09,777000,13816130,17.83,17.88,17.7,17.82,-0.11,262,,00739,元大MSCI A股
2018-10-11,3374298,58146190,17.58,17.58,17.0,17.01,-0.81,1069,,00739,元大MSCI A股
2018-10-12,2900101,49458347,17.05,17.24,16.87,17.24,0.23,701,,00739,元大MSCI A股
2018-10-15,1473604,25235571,17.24,17.24,17.01,17.02,-0.22,364,,00739,元大MSCI A股
2018-10-16,1303000,22180200,17.02,17.19,16.92,17.0,-0.02,430,,00739,元大MSCI A股
2018-10-17,3251200,55015668,17.1,17.1,16.76,16.77,-0.23,866,,00739,元大MSCI A股
2018-10-18,2637501,44173855,16.9,16.91,16.64,16.68,-0.09,517,,00739,元大MSCI A股
2018-10-19,2346000,38843150,16.56,16.75,16.44,16.75,0.07,655,,00739,元大MSCI A股
2018-10-22,5564000,96999290,16.92,17.68,16.92,17.63,0.88,1276,,00739,元大MSCI A股
2018-10-23,2696668,46964474,17.63,17.63,17.3,17.33,-0.3,538,,00739,元大MSCI A股
2018-10-24,1706280,29500837,17.28,17.5,17.11,17.3,-0.03,480,,00739,元大MSCI A股
2018-10-25,2221264,37783858,17.0,17.14,16.89,17.0,-0.3,523,,00739,元大MSCI A股
2018-10-26,1803150,31039624,17.34,17.35,17.02,17.06,0.06,338,,00739,元大MSCI A股
2018-10-29,2020000,34115740,17.1,17.25,16.75,16.75,-0.31,733,,00739,元大MSCI A股
2018-10-30,1628588,27241014,16.75,16.96,16.58,16.95,0.2,386,,00739,元大MSCI A股
2018-10-31,1332269,22560619,17.0,17.0,16.84,17.0,0.05,296,,00739,元大MSCI A股
2018-11-01,1547102,26626757,17.0,17.31,17.0,17.28,0.28,340,,00739,元大MSCI A股
2018-11-02,2699200,47212459,17.49,17.63,17.32,17.53,0.25,625,,00739,元大MSCI A股
2018-11-05,850395,14843569,17.5,17.58,17.34,17.42,-0.11,269,,00739,元大MSCI A股
2018-11-06,980132,17045540,17.5,17.55,17.29,17.29,-0.13,483,,00739,元大MSCI A股
2018-11-07,1357000,23742810,17.3,17.59,17.3,17.47,0.18,347,,00739,元大MSCI A股
2018-11-08,586000,10264680,17.56,17.62,17.41,17.41,-0.06,180,,00739,元大MSCI A股
2018-11-09,893000,15326640,17.4,17.4,17.08,17.1,-0.31,335,,00739,元大MSCI A股
2018-11-12,458000,7835490,17.11,17.18,17.03,17.13,0.03,139,,00739,元大MSCI A股
2018-11-13,1078058,18537907,17.03,17.35,16.98,17.35,0.22,225,,00739,元大MSCI A股
2018-11-14,797000,13870190,17.39,17.48,17.32,17.38,0.03,194,,00739,元大MSCI A股
2018-11-15,692000,11993440,17.38,17.4,17.25,17.37,-0.01,391,,00739,元大MSCI A股
2018-11-16,1570000,27527610,17.5,17.61,17.39,17.55,0.18,338,,00739,元大MSCI A股
2018-11-19,1168000,20564450,17.58,17.67,17.54,17.6,0.05,203,,00739,元大MSCI A股
2018-11-20,1260000,22001260,17.59,17.59,17.34,17.39,-0.21,299,,00739,元大MSCI A股
2018-11-21,952001,16508837,17.39,17.44,17.21,17.37,-0.02,188,,00739,元大MSCI A股
2018-11-22,731000,12676110,17.45,17.46,17.27,17.28,-0.09,275,,00739,元大MSCI A股
2018-11-23,767730,13184225,17.28,17.35,17.09,17.1,-0.18,265,,00739,元大MSCI A股
2018-11-26,547000,9339510,17.1,17.14,17.02,17.04,-0.06,231,,00739,元大MSCI A股
2018-11-27,844511,14349507,17.04,17.04,16.96,17.03,-0.01,232,,00739,元大MSCI A股
2018-11-28,1529000,26008040,17.04,17.13,16.9,17.08,0.05,345,,00739,元大MSCI A股
2018-11-29,637000,10954600,17.16,17.3,17.1,17.1,0.02,190,,00739,元大MSCI A股
2018-11-30,783000,13340710,17.05,17.1,16.98,17.01,-0.09,219,,00739,元大MSCI A股
2018-12-03,2706179,47702151,17.58,17.74,17.45,17.61,0.6,569,,00739,元大MSCI A股
2018-12-04,892954,15749312,17.64,17.67,17.59,17.61,0.0,200,,00739,元大MSCI A股
2018-12-05,3507000,61656410,17.54,17.63,17.48,17.54,-0.07,290,,00739,元大MSCI A股
2018-12-06,2020500,35107488,17.55,17.55,17.29,17.29,-0.25,207,,00739,元大MSCI A股
2018-12-07,857000,14797170,17.28,17.33,17.21,17.27,-0.02,128,,00739,元大MSCI A股
2018-12-10,1122406,19183843,17.2,17.2,17.03,17.04,-0.23,277,,00739,元大MSCI A股
2018-12-11,1480000,25271580,17.05,17.15,17.05,17.05,0.01,143,,00739,元大MSCI A股
