date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-10-31,2286000,45133680,19.4,19.96,19.4,19.93,-0.07,1439,,00752,中信中國50
2018-11-01,2072000,41957160,19.97,20.92,19.8,20.7,0.77,993,,00752,中信中國50
2018-11-02,1708000,35977540,20.71,21.45,20.71,21.44,0.74,610,,00752,中信中國50
2018-11-05,2869000,59925530,21.26,21.27,20.73,21.0,-0.44,801,,00752,中信中國50
2018-11-06,1275000,26567790,21.0,21.05,20.62,20.77,-0.23,618,,00752,中信中國50
2018-11-07,1780000,37533520,20.83,21.43,20.79,21.2,0.43,790,,00752,中信中國50
2018-11-08,1297000,27871270,21.35,21.76,21.31,21.41,0.21,256,,00752,中信中國50
2018-11-09,1269000,26446690,21.29,21.29,20.74,20.82,-0.59,620,,00752,中信中國50
2018-11-12,832000,17156240,20.8,20.8,20.56,20.6,-0.22,172,,00752,中信中國50
2018-11-13,1095000,22217310,20.43,20.61,20.19,20.61,0.01,193,,00752,中信中國50
2018-11-14,749000,15433130,20.66,20.78,20.5,20.65,0.04,73,,00752,中信中國50
2018-11-15,627000,13022240,20.78,20.86,20.68,20.86,0.21,119,,00752,中信中國50
2018-11-16,1035000,21799880,21.08,21.21,20.94,21.19,0.33,123,,00752,中信中國50
2018-11-19,597000,12677150,21.25,21.34,21.2,21.21,0.02,54,,00752,中信中國50
2018-11-20,456000,9489850,21.1,21.1,20.66,20.8,-0.41,80,,00752,中信中國50
2018-11-21,650000,13401420,20.73,20.73,20.51,20.71,-0.09,138,,00752,中信中國50
2018-11-22,610000,12705850,20.88,20.95,20.75,20.93,0.22,149,,00752,中信中國50
2018-11-23,371100,7729465,20.94,20.94,20.81,20.81,-0.12,35,,00752,中信中國50
2018-11-26,644000,13537080,21.0,21.2,20.85,21.11,0.3,165,,00752,中信中國50
2018-11-27,630000,13403340,21.34,21.42,21.22,21.4,0.29,69,,00752,中信中國50
2018-11-28,591000,12738400,21.35,21.67,21.35,21.66,0.26,118,,00752,中信中國50
2018-11-29,553000,12062360,21.82,21.93,21.71,21.85,0.19,114,,00752,中信中國50
2018-11-30,798000,17296460,21.73,21.82,21.51,21.82,-0.03,225,,00752,中信中國50
2018-12-03,692000,15398650,21.91,22.48,21.91,22.25,0.43,255,,00752,中信中國50
2018-12-04,416000,9253390,22.25,22.3,22.12,22.13,-0.12,42,,00752,中信中國50
2018-12-05,4578000,101425220,22.22,22.22,21.95,22.02,-0.11,611,,00752,中信中國50
2018-12-06,980000,21187890,22.14,22.14,21.36,21.6,-0.42,289,,00752,中信中國50
2018-12-07,584000,12557650,21.6,21.6,21.41,21.46,-0.14,249,,00752,中信中國50
2018-12-10,623000,13115330,20.85,21.39,20.85,21.39,-0.07,270,,00752,中信中國50
2018-12-11,905000,19086250,21.29,21.3,20.98,21.0,-0.39,238,,00752,中信中國50
2018-12-12,667000,14213600,21.3,21.53,21.2,21.39,0.39,194,,00752,中信中國50
2018-12-13,840000,18106520,21.58,21.69,21.4,21.6,0.21,127,,00752,中信中國50
2018-12-14,598100,12774220,21.67,21.67,21.22,21.36,-0.24,56,,00752,中信中國50
2018-12-17,620000,13144290,21.32,21.32,21.07,21.2,-0.16,65,,00752,中信中國50
2018-12-18,464100,9663415,20.98,20.98,20.71,20.72,-0.48,68,,00752,中信中國50
2018-12-19,545200,11188092,20.78,20.85,20.45,20.5,-0.22,82,,00752,中信中國50
2018-12-20,409000,8303190,20.35,20.48,20.2,20.2,-0.3,64,,00752,中信中國50
2018-12-21,425000,8573120,20.01,20.71,20.0,20.71,0.51,66,,00752,中信中國50
2018-12-22,363260,7399621,20.45,20.49,20.26,20.48,-0.23,38,,00752,中信中國50
2018-12-24,575100,11694330,20.54,20.75,20.2,20.26,-0.22,71,,00752,中信中國50
2018-12-25,409240,8164900,20.25,20.25,19.87,20.16,-0.1,89,,00752,中信中國50
2018-12-26,678000,13674230,20.29,20.29,20.0,20.0,-0.16,76,,00752,中信中國50
2018-12-27,761000,15548100,20.41,20.51,20.35,20.35,0.35,82,,00752,中信中國50
2018-12-28,863000,17427340,20.45,20.45,19.87,19.87,-0.48,56,,00752,中信中國50
2019-01-02,523000,10546840,20.2,20.47,20.05,20.05,0.18,61,,00752,中信中國50
2019-01-03,801000,16038630,20.04,20.23,19.47,20.03,-0.02,85,,00752,中信中國50
2019-01-04,792000,15748310,19.95,20.06,19.71,20.03,0.0,126,,00752,中信中國50
2019-01-07,519000,10611320,20.43,20.53,20.3,20.49,0.46,81,,00752,中信中國50
2019-01-08,503000,10349720,20.59,20.65,20.49,20.62,0.13,82,,00752,中信中國50
2019-01-09,744015,15596430,20.76,21.16,20.7,21.16,0.54,232,,00752,中信中國50
2019-01-10,598000,12705280,21.29,21.31,21.15,21.27,0.11,161,,00752,中信中國50
2019-01-11,961000,20534140,21.5,21.51,21.27,21.37,0.1,291,,00752,中信中國50
2019-01-14,500000,10623220,21.33,21.49,21.17,21.18,-0.19,121,,00752,中信中國50
2019-01-15,626000,13347470,21.14,21.49,21.12,21.36,0.18,104,,00752,中信中國50
2019-01-16,528500,11295540,21.4,21.48,21.3,21.48,0.12,88,,00752,中信中國50
2019-01-17,1098049,23808244,21.5,21.86,21.5,21.73,0.25,512,,00752,中信中國50
2019-01-18,1204000,26230280,21.52,22.0,21.52,21.85,0.12,433,,00752,中信中國50
2019-01-21,620000,13693030,22.1,22.24,21.93,22.04,0.19,123,,00752,中信中國50
2019-01-22,563000,12342370,22.07,22.07,21.76,21.81,-0.23,108,,00752,中信中國50
2019-01-23,638000,13867940,21.64,21.8,21.51,21.7,-0.11,164,,00752,中信中國50
2019-01-24,456000,9904190,21.82,21.82,21.64,21.71,0.01,97,,00752,中信中國50
2019-01-25,1231090,27056925,21.72,22.08,21.72,22.06,0.35,380,,00752,中信中國50
2019-01-28,718000,16039830,22.2,22.46,22.14,22.3,0.24,274,,00752,中信中國50
2019-01-29,673000,14871490,21.8,22.24,21.75,22.1,-0.2,137,,00752,中信中國50
2019-01-30,526000,11628950,22.33,22.33,22.05,22.17,0.07,85,,00752,中信中國50
2019-02-11,581002,13074915,22.23,22.59,22.23,22.59,0.42,99,,00752,中信中國50
2019-02-12,442000,10008000,22.59,22.75,22.58,22.71,0.12,81,,00752,中信中國50
2019-02-13,523000,11907000,22.78,22.84,22.69,22.77,0.06,71,,00752,中信中國50
2019-02-14,434000,9886570,22.9,22.91,22.72,22.72,-0.05,69,,00752,中信中國50
2019-02-15,448000,10056030,22.76,22.84,22.32,22.34,-0.38,58,,00752,中信中國50
2019-02-18,449000,10110130,22.48,22.55,22.46,22.55,0.21,35,,00752,中信中國50
2019-02-19,483100,10916440,22.59,22.67,22.46,22.46,-0.09,36,,00752,中信中國50
2019-02-20,510000,11576210,22.59,22.83,22.59,22.67,0.21,60,,00752,中信中國50
2019-02-21,357000,8124880,22.64,22.87,22.64,22.87,0.2,29,,00752,中信中國50
2019-02-22,367000,8363350,22.85,22.85,22.66,22.8,-0.07,35,,00752,中信中國50
2019-02-25,766000,17806310,23.4,23.44,23.06,23.35,0.55,175,,00752,中信中國50
2019-02-26,1234000,28966020,23.6,23.65,23.4,23.48,0.13,293,,00752,中信中國50
2019-02-27,559000,13045270,23.5,23.5,23.25,23.43,-0.05,61,,00752,中信中國50
2019-03-04,603000,14209630,23.54,23.73,23.43,23.63,0.2,103,,00752,中信中國50
2019-03-05,135000,3180530,23.43,23.63,23.36,23.63,0.0,53,,00752,中信中國50
2019-03-06,337000,8047570,23.75,24.0,23.75,23.91,0.28,79,,00752,中信中國50
2019-03-07,215000,5101510,23.89,23.91,23.57,23.57,-0.34,55,,00752,中信中國50
2019-03-08,312000,7171900,23.32,23.32,22.91,22.97,-0.6,70,,00752,中信中國50
2019-03-11,197000,4507050,22.68,23.01,22.68,23.01,0.04,47,,00752,中信中國50
2019-03-12,922000,21749410,23.44,23.68,23.38,23.66,0.65,118,,00752,中信中國50
2019-03-13,106000,2492950,23.66,23.66,23.48,23.55,-0.11,23,,00752,中信中國50
2019-03-14,162000,3811290,23.53,23.58,23.42,23.49,-0.06,27,,00752,中信中國50
2019-03-15,460000,10898940,23.48,23.82,23.48,23.73,0.24,71,,00752,中信中國50
2019-03-18,324000,7731980,23.81,24.0,23.69,23.93,0.2,56,,00752,中信中國50
2019-03-19,646000,15465090,23.99,24.04,23.87,24.0,0.07,94,,00752,中信中國50
2019-03-20,1279000,30727320,23.92,24.07,23.92,23.92,-0.08,108,,00752,中信中國50
2019-03-21,338000,8121130,23.92,24.06,23.92,24.04,0.12,48,,00752,中信中國50
2019-03-22,866000,20697440,23.98,23.98,23.66,23.76,-0.28,81,,00752,中信中國50
2019-03-25,803000,18802810,23.74,23.74,23.31,23.33,-0.43,112,,00752,中信中國50
2019-03-26,479000,11232160,23.6,23.6,23.32,23.32,-0.01,79,,00752,中信中國50
2019-03-27,409000,9600480,23.41,23.53,23.39,23.49,0.17,64,,00752,中信中國50
2019-03-28,687000,16114640,23.41,23.47,23.38,23.42,-0.07,37,,00752,中信中國50
2019-03-29,769000,18151650,23.44,23.68,23.42,23.67,0.25,61,,00752,中信中國50
2019-04-01,388000,9323940,23.77,24.13,23.77,24.04,0.37,59,,00752,中信中國50
2019-04-02,190000,4562720,24.06,24.07,23.94,24.05,0.01,36,,00752,中信中國50
2019-04-03,1344000,32582870,24.04,24.37,24.04,24.35,0.3,108,,00752,中信中國50
2019-04-08,360000,8820550,24.39,24.56,24.39,24.42,0.07,79,,00752,中信中國50
2019-04-09,253000,6267030,24.72,24.82,24.72,24.75,0.33,64,,00752,中信中國50
2019-04-10,438000,10839310,24.75,24.8,24.65,24.79,0.04,82,,00752,中信中國50
2019-04-11,493365,12160125,24.79,24.85,24.59,24.7,-0.09,87,,00752,中信中國50
2019-04-12,390367,9595845,24.7,24.7,24.54,24.57,-0.13,66,,00752,中信中國50
2019-04-15,261436,6508673,24.66,25.06,24.66,24.85,0.28,97,,00752,中信中國50
2019-04-16,592000,14605930,24.5,24.75,24.46,24.7,-0.15,87,,00752,中信中國50
2019-04-17,448550,11122070,24.75,24.84,24.75,24.8,0.1,96,,00752,中信中國50
