date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-10-31,2744000,53819440,19.32,19.88,19.32,19.88,-0.12,754,,00753L,中信中國50正2
2018-11-01,3502000,72229860,19.91,21.61,19.91,21.61,1.73,634,,00753L,中信中國50正2
2018-11-02,1698000,38795700,21.64,23.55,21.64,23.45,1.84,340,,00753L,中信中國50正2
2018-11-05,1275000,28941820,23.54,23.54,22.3,22.56,-0.89,367,,00753L,中信中國50正2
2018-11-06,1556000,34996090,22.8,22.86,22.21,22.3,-0.26,438,,00753L,中信中國50正2
2018-11-07,2582000,59359990,22.65,23.55,22.5,23.18,0.88,703,,00753L,中信中國50正2
2018-11-08,2112000,49632010,23.53,23.7,23.31,23.31,0.13,579,,00753L,中信中國50正2
2018-11-09,1716000,38203770,23.17,23.17,21.87,21.95,-1.36,653,,00753L,中信中國50正2
2018-11-12,948000,20650960,21.88,22.12,21.5,21.7,-0.25,414,,00753L,中信中國50正2
2018-11-13,1466000,30910330,21.42,21.45,20.65,21.45,-0.25,576,,00753L,中信中國50正2
2018-11-14,1644000,35460010,21.67,21.73,21.41,21.59,0.14,275,,00753L,中信中國50正2
2018-11-15,1111000,24304890,21.67,22.05,21.67,22.01,0.42,284,,00753L,中信中國50正2
2018-11-16,1078000,24111850,22.26,22.7,22.17,22.53,0.52,283,,00753L,中信中國50正2
2018-11-19,854000,19335530,22.73,22.75,22.52,22.7,0.17,183,,00753L,中信中國50正2
2018-11-20,897000,19873760,22.59,22.59,21.81,21.92,-0.78,270,,00753L,中信中國50正2
2018-11-21,743000,16080190,21.6,21.93,21.32,21.88,-0.04,191,,00753L,中信中國50正2
2018-11-22,632000,13887690,21.95,22.08,21.9,22.0,0.12,84,,00753L,中信中國50正2
2018-11-23,541000,11716850,21.97,22.01,21.56,21.65,-0.35,104,,00753L,中信中國50正2
2018-11-26,847000,18795550,21.8,22.4,21.64,22.32,0.67,225,,00753L,中信中國50正2
2018-11-27,789000,17637920,22.3,22.51,22.16,22.41,0.09,139,,00753L,中信中國50正2
2018-11-28,900000,20582940,22.31,23.05,22.31,23.05,0.64,227,,00753L,中信中國50正2
2018-11-29,1046000,24576880,23.69,23.7,23.17,23.17,0.12,231,,00753L,中信中國50正2
2018-11-30,938000,21766190,23.09,23.39,22.95,23.35,0.18,182,,00753L,中信中國50正2
2018-12-03,1547000,37769850,24.6,24.94,23.68,24.54,1.19,278,,00753L,中信中國50正2
2018-12-04,459000,11201930,24.21,24.57,24.17,24.17,-0.37,102,,00753L,中信中國50正2
2018-12-05,1537000,36905310,24.0,24.45,23.83,23.9,-0.27,544,,00753L,中信中國50正2
2018-12-06,1703000,38939490,23.92,23.92,22.35,22.41,-1.49,580,,00753L,中信中國50正2
2018-12-07,1184000,26668450,22.44,22.61,22.4,22.45,0.04,419,,00753L,中信中國50正2
2018-12-10,733000,15945540,21.95,21.99,21.62,21.66,-0.79,198,,00753L,中信中國50正2
2018-12-11,645000,13981450,21.74,21.94,21.43,21.69,0.03,132,,00753L,中信中國50正2
2018-12-12,1146000,25682610,22.0,22.53,22.0,22.49,0.8,268,,00753L,中信中國50正2
2018-12-13,845000,19377660,22.6,23.13,22.52,23.03,0.54,251,,00753L,中信中國50正2
2018-12-14,750000,16839510,23.03,23.03,22.24,22.36,-0.67,184,,00753L,中信中國50正2
2018-12-17,457100,10125069,22.44,22.44,21.89,22.16,-0.2,120,,00753L,中信中國50正2
2018-12-18,580000,12486240,22.0,22.0,21.13,21.17,-0.99,267,,00753L,中信中國50正2
2018-12-19,496000,10467220,21.2,21.36,20.99,21.0,-0.17,144,,00753L,中信中國50正2
2018-12-20,681000,13842730,20.9,20.9,20.07,20.08,-0.92,213,,00753L,中信中國50正2
2018-12-21,688000,13774110,20.08,20.25,19.6,20.15,0.07,177,,00753L,中信中國50正2
2018-12-22,358100,7169290,20.3,20.3,20.0,20.06,-0.09,62,,00753L,中信中國50正2
2018-12-24,520000,10390400,20.48,20.48,19.85,19.96,-0.1,134,,00753L,中信中國50正2
2018-12-25,414000,8139410,20.05,20.05,19.5,19.67,-0.29,90,,00753L,中信中國50正2
2018-12-26,524000,10279220,19.71,19.91,19.31,19.31,-0.36,128,,00753L,中信中國50正2
2018-12-27,601000,12220700,20.55,20.8,20.08,20.08,0.77,150,,00753L,中信中國50正2
2018-12-28,571000,11467420,20.28,20.28,19.92,20.25,0.17,90,,00753L,中信中國50正2
2019-01-02,877000,17077690,20.4,20.41,19.24,19.34,-0.91,193,,00753L,中信中國50正2
2019-01-03,837000,16133510,19.39,19.72,19.03,19.1,-0.24,151,,00753L,中信中國50正2
2019-01-04,814000,15691000,19.24,19.56,18.9,19.56,0.46,227,,00753L,中信中國50正2
2019-01-07,1040000,21021980,20.34,20.43,19.95,20.29,0.73,252,,00753L,中信中國50正2
2019-01-08,723000,14769660,20.29,20.58,20.25,20.48,0.19,162,,00753L,中信中國50正2
2019-01-09,1021000,21769480,20.89,21.67,20.68,21.67,1.19,352,,00753L,中信中國50正2
2019-01-10,468000,10182740,21.65,21.98,21.34,21.66,-0.01,103,,00753L,中信中國50正2
2019-01-11,697100,15239240,21.66,22.05,21.66,21.93,0.27,139,,00753L,中信中國50正2
2019-01-14,431000,9246710,22.04,22.04,21.2,21.42,-0.51,91,,00753L,中信中國50正2
2019-01-15,408000,8953230,21.6,22.12,21.52,22.0,0.58,97,,00753L,中信中國50正2
2019-01-16,596200,13217622,22.05,22.37,22.0,22.18,0.18,100,,00753L,中信中國50正2
2019-01-17,634000,14341170,22.3,22.79,22.2,22.68,0.5,183,,00753L,中信中國50正2
2019-01-18,509100,11589474,22.77,22.88,22.65,22.81,0.13,89,,00753L,中信中國50正2
2019-01-21,603000,13992840,23.05,23.49,22.89,23.19,0.38,170,,00753L,中信中國50正2
2019-01-22,435000,9872160,23.29,23.4,22.48,22.48,-0.71,92,,00753L,中信中國50正2
2019-01-23,630000,14264530,22.45,22.75,22.33,22.62,0.14,88,,00753L,中信中國50正2
2019-01-24,471000,10640480,22.69,22.69,22.34,22.58,-0.04,76,,00753L,中信中國50正2
2019-01-25,907000,21071990,22.89,23.45,22.69,23.4,0.82,253,,00753L,中信中國50正2
2019-01-28,452097,10797510,23.55,24.1,23.46,23.84,0.44,204,,00753L,中信中國50正2
2019-01-29,495000,11583970,23.54,23.6,23.24,23.55,-0.29,121,,00753L,中信中國50正2
2019-01-30,348000,8185910,23.63,23.65,23.37,23.55,0.0,68,,00753L,中信中國50正2
2019-02-11,748000,18293970,23.93,24.61,23.93,24.6,1.05,241,,00753L,中信中國50正2
2019-02-12,434000,10813280,24.86,25.0,24.6,24.89,0.29,155,,00753L,中信中國50正2
2019-02-13,424000,10695150,25.11,25.5,25.0,25.5,0.61,133,,00753L,中信中國50正2
2019-02-14,576000,14645220,25.8,25.8,25.27,25.5,0.0,119,,00753L,中信中國50正2
