date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-12-06,2221000,40987560,18.05,18.67,18.05,18.5,-0.64,667,,00757,統一FANG+
2018-12-07,862000,16354490,18.95,19.02,18.93,18.93,0.43,276,,00757,統一FANG+
2018-12-10,476000,8799030,18.4,18.6,18.4,18.47,-0.46,97,,00757,統一FANG+
2018-12-11,236000,4439660,18.67,18.88,18.67,18.87,0.4,131,,00757,統一FANG+
2018-12-12,91000,1725720,18.91,19.02,18.9,18.95,0.08,62,,00757,統一FANG+
2018-12-13,975000,18633350,19.06,19.17,19.06,19.17,0.22,183,,00757,統一FANG+
2018-12-14,356000,6803590,19.15,19.17,19.09,19.12,-0.05,91,,00757,統一FANG+
2018-12-17,78000,1470820,18.83,19.0,18.82,18.82,-0.3,40,,00757,統一FANG+
2018-12-18,207000,3799780,18.3,18.45,18.29,18.3,-0.52,82,,00757,統一FANG+
2018-12-19,80000,1463680,18.4,18.4,18.25,18.29,-0.01,38,,00757,統一FANG+
2018-12-20,290000,5175600,18.05,18.05,17.6,17.6,-0.69,147,,00757,統一FANG+
2018-12-21,238000,4096440,17.15,17.35,17.15,17.18,-0.42,81,,00757,統一FANG+
2018-12-22,151000,2531090,16.9,16.9,16.69,16.81,-0.37,75,,00757,統一FANG+
2018-12-24,172000,2876520,16.74,16.74,16.67,16.73,-0.08,43,,00757,統一FANG+
2018-12-25,172000,2823900,16.48,16.48,16.3,16.41,-0.32,53,,00757,統一FANG+
2018-12-26,162000,2623430,16.5,16.51,16.0,16.0,-0.41,86,,00757,統一FANG+
2018-12-27,460000,7816550,16.8,17.11,16.8,17.11,1.11,157,,00757,統一FANG+
2018-12-28,294000,5041380,17.0,17.27,17.0,17.27,0.16,55,,00757,統一FANG+
2019-01-02,236000,4062160,17.35,17.35,17.08,17.08,-0.19,39,,00757,統一FANG+
2019-01-03,200000,3387000,16.91,17.0,16.91,16.93,-0.15,45,,00757,統一FANG+
2019-01-04,247000,4127030,16.44,16.85,16.44,16.77,-0.16,55,,00757,統一FANG+
2019-01-07,363000,6383850,17.72,17.72,17.53,17.58,0.81,75,,00757,統一FANG+
2019-01-08,467500,8424625,17.84,18.09,17.84,18.04,0.46,133,,00757,統一FANG+
2019-01-09,446500,8166890,18.2,18.38,18.16,18.35,0.31,117,,00757,統一FANG+
2019-01-10,393000,7229140,18.4,18.45,18.35,18.4,0.05,106,,00757,統一FANG+
2019-01-11,369000,6861120,18.58,18.63,18.56,18.6,0.2,105,,00757,統一FANG+
2019-01-14,197000,3650200,18.6,18.6,18.44,18.5,-0.1,44,,00757,統一FANG+
2019-01-15,329063,6121856,18.5,18.66,18.5,18.66,0.16,52,,00757,統一FANG+
2019-01-16,387000,7317900,18.92,18.95,18.88,18.9,0.24,100,,00757,統一FANG+
2019-01-17,355000,6703880,18.9,18.95,18.84,18.87,-0.03,61,,00757,統一FANG+
2019-01-18,519000,9936250,18.95,19.24,18.95,19.17,0.3,171,,00757,統一FANG+
2019-01-21,258000,4923610,19.08,19.12,19.0,19.1,-0.07,61,,00757,統一FANG+
2019-01-22,265000,5030840,19.06,19.1,18.95,19.01,-0.09,38,,00757,統一FANG+
2019-01-23,153000,2838010,18.47,18.58,18.45,18.5,-0.51,31,,00757,統一FANG+
2019-01-24,212000,3919580,18.49,18.5,18.44,18.44,-0.06,12,,00757,統一FANG+
2019-01-25,354000,6654240,18.76,18.85,18.69,18.81,0.37,43,,00757,統一FANG+
2019-01-28,374000,7107130,19.05,19.05,18.98,19.01,0.2,46,,00757,統一FANG+
2019-01-29,318000,5923130,18.65,18.66,18.59,18.59,-0.42,19,,00757,統一FANG+
2019-01-30,344000,6342790,18.48,18.48,18.39,18.44,-0.15,34,,00757,統一FANG+
