date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-01-23,4392100,85295036,19.4,19.51,19.33,19.41,-0.59,1929,,00762,元大全球AI
2019-01-24,936900,18175501,19.45,19.47,19.36,19.37,-0.04,538,,00762,元大全球AI
2019-01-25,4098000,81298510,19.69,19.97,19.69,19.89,0.52,1609,,00762,元大全球AI
2019-01-28,2969370,59536000,20.0,20.08,20.0,20.06,0.17,1285,,00762,元大全球AI
2019-01-29,1011032,20032746,19.9,19.9,19.76,19.8,-0.26,282,,00762,元大全球AI
2019-01-30,451005,8925989,19.81,19.83,19.75,19.78,-0.02,180,,00762,元大全球AI
2019-02-11,3885583,79835738,20.1,20.9,20.08,20.81,1.03,1243,,00762,元大全球AI
2019-02-12,1131010,23728891,20.82,21.03,20.82,21.01,0.2,404,,00762,元大全球AI
2019-02-13,936190,19936060,21.2,21.43,21.2,21.3,0.29,320,,00762,元大全球AI
2019-02-14,1398000,29872630,21.41,21.46,21.22,21.45,0.15,340,,00762,元大全球AI
2019-02-15,723200,15444765,21.47,21.47,21.3,21.3,-0.15,243,,00762,元大全球AI
2019-02-18,436200,9380520,21.36,21.55,21.36,21.55,0.25,187,,00762,元大全球AI
2019-02-19,265040,5724340,21.56,21.64,21.55,21.6,0.05,134,,00762,元大全球AI
2019-02-20,355000,7660290,21.66,21.66,21.51,21.54,-0.06,179,,00762,元大全球AI
2019-02-21,518000,11203180,21.56,21.7,21.56,21.65,0.11,165,,00762,元大全球AI
2019-02-22,297000,6373240,21.5,21.52,21.42,21.42,-0.23,165,,00762,元大全球AI
2019-02-25,675000,14804680,21.86,21.98,21.86,21.97,0.55,189,,00762,元大全球AI
2019-02-26,690000,15216690,22.12,22.12,22.0,22.05,0.08,204,,00762,元大全球AI
2019-02-27,227000,5010240,22.11,22.11,22.05,22.07,0.02,139,,00762,元大全球AI
2019-03-04,295000,6580280,22.49,22.49,22.27,22.3,0.23,167,,00762,元大全球AI
2019-03-05,394170,8687198,22.12,22.12,22.0,22.05,-0.25,204,,00762,元大全球AI
2019-03-06,266000,5850570,22.03,22.04,21.98,22.01,-0.04,141,,00762,元大全球AI
2019-03-07,392000,8550040,21.92,21.92,21.76,21.76,-0.25,191,,00762,元大全球AI
2019-03-08,320000,6882180,21.59,21.59,21.48,21.51,-0.25,176,,00762,元大全球AI
2019-03-11,195000,4202090,21.51,21.6,21.51,21.59,0.08,73,,00762,元大全球AI
2019-03-12,349010,7723022,22.07,22.15,22.07,22.14,0.55,140,,00762,元大全球AI
2019-03-13,283000,6271740,22.17,22.18,22.13,22.15,0.01,90,,00762,元大全球AI
2019-03-14,169000,3763700,22.21,22.32,22.21,22.26,0.11,109,,00762,元大全球AI
2019-03-15,235000,5254520,22.36,22.38,22.34,22.36,0.1,111,,00762,元大全球AI
2019-03-18,296000,6639740,22.42,22.44,22.41,22.44,0.08,104,,00762,元大全球AI
2019-03-19,170000,3811020,22.43,22.44,22.4,22.43,-0.01,77,,00762,元大全球AI
2019-03-20,154099,3456947,22.42,22.44,22.42,22.42,-0.01,52,,00762,元大全球AI
