date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2018-12-19,860000,16635830,19.27,19.42,19.13,19.36,-0.63,269,,00763U,期街口道瓊銅
2018-12-20,925000,17808980,19.34,19.39,19.16,19.16,-0.2,103,,00763U,期街口道瓊銅
2018-12-21,958000,18629710,19.45,19.48,19.41,19.44,0.28,181,,00763U,期街口道瓊銅
2018-12-22,303000,5840510,19.17,19.28,19.17,19.17,-0.27,14,,00763U,期街口道瓊銅
2018-12-24,536000,10366170,19.27,19.35,19.27,19.35,0.18,56,,00763U,期街口道瓊銅
2018-12-25,503000,9712470,19.25,19.33,19.21,19.33,-0.02,21,,00763U,期街口道瓊銅
2018-12-26,511000,9800310,19.22,19.22,19.07,19.09,-0.24,23,,00763U,期街口道瓊銅
2018-12-27,513000,10004930,19.45,19.52,19.43,19.51,0.42,162,,00763U,期街口道瓊銅
2018-12-28,508000,9859950,19.4,19.41,19.39,19.39,-0.12,24,,00763U,期街口道瓊銅
2019-01-02,704000,13452360,19.22,19.24,19.07,19.1,-0.29,44,,00763U,期街口道瓊銅
2019-01-03,501000,9436260,18.81,18.86,18.8,18.82,-0.28,22,,00763U,期街口道瓊銅
2019-01-04,550000,10300080,18.5,18.79,18.5,18.79,-0.03,29,,00763U,期街口道瓊銅
2019-01-07,503000,9594430,19.02,19.08,18.99,19.05,0.26,31,,00763U,期街口道瓊銅
2019-01-08,501000,9497410,19.02,19.02,18.95,18.95,-0.1,13,,00763U,期街口道瓊銅
2019-01-09,502000,9640500,19.11,19.23,19.11,19.22,0.27,48,,00763U,期街口道瓊銅
2019-01-10,559000,10742870,19.16,19.25,19.1,19.23,0.01,23,,00763U,期街口道瓊銅
2019-01-11,507000,9711410,19.04,19.17,19.0,19.17,-0.06,25,,00763U,期街口道瓊銅
2019-01-14,716000,13602650,19.17,19.17,18.95,18.95,-0.22,26,,00763U,期街口道瓊銅
2019-01-15,500000,9550660,19.0,19.14,19.0,19.14,0.19,19,,00763U,期街口道瓊銅
2019-01-16,502000,9639490,19.05,19.22,19.05,19.22,0.08,16,,00763U,期街口道瓊銅
2019-01-17,20000,385170,19.23,19.28,19.23,19.26,0.04,11,,00763U,期街口道瓊銅
2019-01-18,58000,1126910,19.41,19.46,19.36,19.46,0.2,33,,00763U,期街口道瓊銅
2019-01-21,16000,311910,19.5,19.5,19.45,19.48,0.02,16,,00763U,期街口道瓊銅
2019-01-22,13000,251380,19.38,19.38,19.31,19.31,-0.17,4,,00763U,期街口道瓊銅
