date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-01-29,650000,12846850,19.75,19.8,19.72,19.78,-0.43,300,,00770,國泰北美科技
2019-01-30,210000,4142160,19.78,19.78,19.68,19.73,-0.05,83,,00770,國泰北美科技
2019-02-11,1964000,40197310,20.67,20.67,20.23,20.49,0.76,588,,00770,國泰北美科技
2019-02-12,545000,11271080,20.62,20.81,20.59,20.8,0.31,110,,00770,國泰北美科技
2019-02-13,323000,6793920,21.0,21.1,20.96,21.09,0.29,62,,00770,國泰北美科技
2019-02-14,177000,3719500,21.1,21.1,20.97,21.07,-0.02,55,,00770,國泰北美科技
2019-02-15,356000,7449720,21.03,21.03,20.89,20.92,-0.15,31,,00770,國泰北美科技
2019-02-18,182000,3833280,21.03,21.09,21.03,21.05,0.13,33,,00770,國泰北美科技
2019-02-19,44000,929260,21.11,21.14,21.1,21.11,0.06,14,,00770,國泰北美科技
2019-02-20,32000,675500,21.18,21.18,21.07,21.08,-0.03,13,,00770,國泰北美科技
2019-02-21,256000,5418580,21.1,21.2,21.1,21.17,0.09,17,,00770,國泰北美科技
2019-02-22,76000,1596760,21.03,21.03,20.98,20.98,-0.19,20,,00770,國泰北美科技
2019-02-25,109000,2326720,21.36,21.37,21.32,21.37,0.39,13,,00770,國泰北美科技
2019-02-26,767000,16331700,21.31,21.32,21.22,21.22,-0.15,20,,00770,國泰北美科技
2019-02-27,55000,1174630,21.22,21.43,21.22,21.43,0.21,17,,00770,國泰北美科技
2019-03-04,108000,2338130,21.59,21.69,21.59,21.69,0.26,15,,00770,國泰北美科技
2019-03-05,34000,730430,21.45,21.54,21.45,21.46,-0.23,7,,00770,國泰北美科技
2019-03-06,22000,472690,21.5,21.5,21.48,21.49,0.03,8,,00770,國泰北美科技
2019-03-07,1000,21420,21.42,21.42,21.42,21.42,-0.07,1,,00770,國泰北美科技
2019-03-08,101000,2143190,21.22,21.22,21.19,21.19,-0.23,3,,00770,國泰北美科技
2019-03-11,16000,339450,21.2,21.25,21.2,21.25,0.06,4,,00770,國泰北美科技
2019-03-12,72000,1565050,21.67,21.76,21.67,21.75,0.5,9,,00770,國泰北美科技
2019-03-13,16000,347710,21.71,21.76,21.71,21.76,0.01,10,,00770,國泰北美科技
2019-03-14,19000,415980,21.85,21.92,21.85,21.92,0.16,7,,00770,國泰北美科技
2019-03-15,14000,307380,21.93,21.97,21.93,21.97,0.05,4,,00770,國泰北美科技
2019-03-18,9000,198200,22.0,22.04,22.0,22.04,0.07,4,,00770,國泰北美科技
