date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-05-16,2324000,46539460,20.0,20.07,20.0,20.07,-0.05,723,,00771,元大US高息特別股
2019-05-17,1653000,33490490,20.13,20.32,20.13,20.3,0.23,387,,00771,元大US高息特別股
2019-05-20,271000,5509970,20.33,20.35,20.32,20.34,0.04,100,,00771,元大US高息特別股
2019-05-21,196000,3979530,20.32,20.33,20.27,20.33,-0.01,62,,00771,元大US高息特別股
2019-05-22,176500,3606100,20.35,20.45,20.35,20.45,0.12,60,,00771,元大US高息特別股
2019-05-23,772000,15818790,20.44,20.54,20.43,20.47,0.02,140,,00771,元大US高息特別股
2019-05-24,212000,4339680,20.47,20.5,20.45,20.46,-0.01,66,,00771,元大US高息特別股
2019-05-27,142000,2900240,20.45,20.45,20.4,20.4,-0.06,56,,00771,元大US高息特別股
2019-05-28,282000,5753100,20.4,20.41,20.38,20.4,0.0,48,,00771,元大US高息特別股
2019-05-29,207000,4222470,20.4,20.41,20.39,20.39,-0.01,44,,00771,元大US高息特別股
2019-05-30,366000,7487930,20.4,20.48,20.4,20.46,0.07,57,,00771,元大US高息特別股
2019-05-31,355000,7260410,20.46,20.48,20.44,20.45,-0.01,66,,00771,元大US高息特別股
2019-06-03,381000,7738130,20.36,20.36,20.26,20.32,-0.13,83,,00771,元大US高息特別股
2019-06-04,346000,7022350,20.32,20.32,20.27,20.3,-0.02,46,,00771,元大US高息特別股
2019-06-05,341000,6941760,20.37,20.38,20.35,20.38,0.08,44,,00771,元大US高息特別股
2019-06-06,364000,7415590,20.38,20.39,20.37,20.37,-0.01,41,,00771,元大US高息特別股
2019-06-10,487000,9957880,20.4,20.49,20.4,20.49,0.12,48,,00771,元大US高息特別股
2019-06-11,293000,6001390,20.49,20.5,20.47,20.48,-0.01,35,,00771,元大US高息特別股
2019-06-12,344000,7032140,20.45,20.46,20.43,20.44,-0.04,28,,00771,元大US高息特別股
2019-06-13,368000,7524890,20.45,20.45,20.4,20.45,0.01,25,,00771,元大US高息特別股
2019-06-14,463000,9495510,20.49,20.54,20.48,20.53,0.08,50,,00771,元大US高息特別股
2019-06-17,306000,6295090,20.58,20.6,20.57,20.57,0.04,36,,00771,元大US高息特別股
