date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-02-15,65000,2589000,39.8,39.84,39.8,39.84,0.18,3,,00775B,新光投等債15+
2019-02-18,60000,2390700,39.84,39.87,39.84,39.87,0.03,3,,00775B,新光投等債15+
2019-02-19,52000,2073770,39.89,39.89,39.88,39.88,0.01,4,,00775B,新光投等債15+
2019-02-20,56000,2237280,39.93,40.01,39.91,39.95,0.07,7,,00775B,新光投等債15+
2019-02-21,99000,3943530,39.87,39.87,39.8,39.82,-0.13,12,,00775B,新光投等債15+
2019-02-22,52000,2059500,39.75,39.75,39.6,39.6,-0.22,3,,00775B,新光投等債15+
2019-02-25,50000,1980000,39.6,39.6,39.6,39.6,0.0,3,,00775B,新光投等債15+
2019-02-26,51000,2022220,39.65,39.72,39.65,39.72,0.12,3,,00775B,新光投等債15+
2019-02-27,50000,1982500,39.65,39.65,39.65,39.65,-0.07,2,,00775B,新光投等債15+
2019-03-04,51000,1991590,39.09,39.09,39.05,39.05,-0.6,3,,00775B,新光投等債15+
2019-03-05,50000,1977500,39.55,39.55,39.55,39.55,0.5,2,,00775B,新光投等債15+
2019-03-06,50000,1980000,39.6,39.6,39.6,39.6,0.05,2,,00775B,新光投等債15+
2019-03-07,51000,2019550,39.55,39.6,39.55,39.6,0.0,3,,00775B,新光投等債15+
2019-03-08,111000,4392710,38.8,39.86,38.8,39.75,0.15,18,,00775B,新光投等債15+
2019-03-11,50000,1992500,39.85,39.85,39.85,39.85,0.1,2,,00775B,新光投等債15+
2019-03-12,51000,2029800,39.8,39.8,39.8,39.8,-0.05,3,,00775B,新光投等債15+
2019-03-13,66000,2643300,40.05,40.05,40.05,40.05,0.25,5,,00775B,新光投等債15+
2019-03-14,50000,1995000,39.9,39.9,39.9,39.9,-0.15,2,,00775B,新光投等債15+
2019-03-15,50000,1995000,39.9,39.9,39.9,39.9,0.0,2,,00775B,新光投等債15+
2019-03-18,52000,2074800,39.9,39.9,39.9,39.9,0.0,3,,00775B,新光投等債15+
2019-03-19,50000,1992500,39.85,39.85,39.85,39.85,-0.05,3,,00775B,新光投等債15+
2019-03-20,50000,1997500,39.95,39.95,39.95,39.95,0.1,2,,00775B,新光投等債15+
2019-03-21,50000,2005000,40.1,40.1,40.1,40.1,0.15,2,,00775B,新光投等債15+
2019-03-22,50000,2012500,40.25,40.25,40.25,40.25,0.15,2,,00775B,新光投等債15+
2019-03-25,83000,3387400,40.8,40.84,40.8,40.8,0.55,12,,00775B,新光投等債15+
2019-03-26,115000,4683800,40.79,40.79,40.69,40.69,-0.11,16,,00775B,新光投等債15+
2019-03-27,50000,2040000,40.8,40.8,40.8,40.8,0.11,2,,00775B,新光投等債15+
2019-03-28,52000,2142400,41.2,41.2,41.2,41.2,0.4,3,,00775B,新光投等債15+
2019-03-29,50000,2057500,41.15,41.15,41.15,41.15,-0.05,2,,00775B,新光投等債15+
2019-04-01,51000,2091090,41.09,41.09,41.0,41.0,-0.15,3,,00775B,新光投等債15+
2019-04-02,51000,2085890,40.89,40.9,40.89,40.9,-0.1,3,,00775B,新光投等債15+
2019-04-03,50000,2030000,40.6,40.6,40.6,40.6,-0.3,2,,00775B,新光投等債15+
2019-04-08,50000,2037500,40.75,40.75,40.75,40.75,0.15,2,,00775B,新光投等債15+
2019-04-09,50000,2035000,40.7,40.7,40.7,40.7,-0.05,2,,00775B,新光投等債15+
2019-04-10,50000,2045000,40.9,40.9,40.9,40.9,0.2,2,,00775B,新光投等債15+
2019-04-11,51000,2093600,41.1,41.1,41.05,41.05,0.15,3,,00775B,新光投等債15+
2019-04-12,50000,2052500,41.05,41.05,41.05,41.05,0.0,2,,00775B,新光投等債15+
2019-04-15,50000,2047500,40.95,40.95,40.95,40.95,-0.1,2,,00775B,新光投等債15+
2019-04-16,50000,2052500,41.05,41.05,41.05,41.05,0.1,2,,00775B,新光投等債15+
2019-04-17,50000,2040000,40.8,40.8,40.8,40.8,-0.25,2,,00775B,新光投等債15+
2019-04-18,50000,2045000,40.9,40.9,40.9,40.9,0.1,2,,00775B,新光投等債15+
2019-04-19,50000,2045000,40.9,40.9,40.9,40.9,0.0,2,,00775B,新光投等債15+
2019-04-22,50000,2047500,40.95,40.95,40.95,40.95,0.05,2,,00775B,新光投等債15+
2019-04-23,50000,2042500,40.85,40.85,40.85,40.85,-0.1,2,,00775B,新光投等債15+
2019-04-24,50000,2045000,40.9,40.9,40.9,40.9,0.05,2,,00775B,新光投等債15+
2019-04-25,50000,2057500,41.15,41.15,41.15,41.15,0.25,2,,00775B,新光投等債15+
2019-04-26,50000,2060000,41.2,41.2,41.2,41.2,0.05,2,,00775B,新光投等債15+
2019-04-29,50000,2062500,41.25,41.25,41.25,41.25,0.05,2,,00775B,新光投等債15+
2019-04-30,50000,2060000,41.2,41.2,41.2,41.2,-0.05,2,,00775B,新光投等債15+
2019-05-02,51000,2108800,41.3,41.35,41.3,41.35,0.15,3,,00775B,新光投等債15+
2019-05-03,50000,2060000,41.2,41.2,41.2,41.2,-0.15,2,,00775B,新光投等債15+
2019-05-06,1000,41500,41.5,41.5,41.5,41.5,0.3,1,,00775B,新光投等債15+
2019-05-07,0,0,,,,,0.0,0,,00775B,新光投等債15+
2019-05-08,2000,82840,41.42,41.42,41.42,41.42,0.0,2,,00775B,新光投等債15+
2019-05-09,1000,41400,41.4,41.4,41.4,41.4,-0.02,1,,00775B,新光投等債15+
2019-05-10,1000,41350,41.35,41.35,41.35,41.35,-0.05,1,,00775B,新光投等債15+
2019-05-13,2000,82900,41.45,41.45,41.45,41.45,0.1,2,,00775B,新光投等債15+
2019-05-14,10000,415500,41.55,41.55,41.55,41.55,0.1,1,,00775B,新光投等債15+
2019-05-15,1000,41630,41.63,41.63,41.63,41.63,0.08,1,,00775B,新光投等債15+
2019-05-16,1000,41930,41.93,41.93,41.93,41.93,0.3,1,,00775B,新光投等債15+
2019-05-17,2000,84420,42.21,42.21,42.21,42.21,0.28,2,,00775B,新光投等債15+
2019-05-20,1000,42140,42.14,42.14,42.14,42.14,-0.07,1,,00775B,新光投等債15+
2019-05-21,1000,42110,42.11,42.11,42.11,42.11,-0.03,1,,00775B,新光投等債15+
2019-05-22,5000,210900,42.18,42.18,42.18,42.18,0.07,1,,00775B,新光投等債15+
2019-05-23,1000,42230,42.23,42.23,42.23,42.23,0.0,1,,00775B,新光投等債15+
2019-05-24,3000,126630,42.17,42.23,42.17,42.23,0.0,3,,00775B,新光投等債15+
2019-05-27,1000,42260,42.26,42.26,42.26,42.26,0.03,1,,00775B,新光投等債15+
2019-05-28,2000,84760,42.38,42.38,42.38,42.38,0.12,2,,00775B,新光投等債15+
2019-05-29,1000,42520,42.52,42.52,42.52,42.52,0.14,1,,00775B,新光投等債15+
2019-05-30,1000,42450,42.45,42.45,42.45,42.45,-0.07,1,,00775B,新光投等債15+
2019-05-31,2000,86220,43.11,43.11,43.11,43.11,0.66,1,,00775B,新光投等債15+
2019-06-03,1000,43100,43.1,43.1,43.1,43.1,-0.01,1,,00775B,新光投等債15+
2019-06-04,1000,43110,43.11,43.11,43.11,43.11,0.01,1,,00775B,新光投等債15+
2019-06-05,1000,42930,42.93,42.93,42.93,42.93,-0.18,1,,00775B,新光投等債15+
2019-06-06,1000,42700,42.7,42.7,42.7,42.7,-0.23,1,,00775B,新光投等債15+
2019-06-10,1000,42920,42.92,42.92,42.92,42.92,0.22,1,,00775B,新光投等債15+
2019-06-11,1000,42910,42.91,42.91,42.91,42.91,-0.01,1,,00775B,新光投等債15+
2019-06-12,1000,43100,43.1,43.1,43.1,43.1,0.19,1,,00775B,新光投等債15+
2019-06-13,2000,86440,43.15,43.29,43.15,43.29,0.19,2,,00775B,新光投等債15+
2019-06-14,1000,43340,43.34,43.34,43.34,43.34,0.05,1,,00775B,新光投等債15+
2019-06-17,1000,43300,43.3,43.3,43.3,43.3,-0.04,1,,00775B,新光投等債15+
2019-06-18,6000,260880,43.48,43.48,43.48,43.48,0.18,1,,00775B,新光投等債15+
2019-06-19,1000,43670,43.67,43.67,43.67,43.67,0.19,1,,00775B,新光投等債15+
2019-06-20,2000,87420,43.71,43.71,43.71,43.71,0.04,2,,00775B,新光投等債15+
2019-06-21,2000,87520,43.76,43.76,43.76,43.76,0.05,2,,00775B,新光投等債15+
2019-06-24,2000,87120,43.56,43.56,43.56,43.56,-0.2,2,,00775B,新光投等債15+
