date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-03-27,5736050,113265086,19.72,19.82,19.67,19.68,0.04,1006,,00783,富邦中証500
2019-03-28,6789000,134468780,19.77,19.89,19.72,19.79,0.11,1058,,00783,富邦中証500
2019-03-29,7185049,143346360,19.84,20.02,19.75,20.02,0.23,1034,,00783,富邦中証500
2019-04-01,19660501,402221815,20.04,20.89,20.04,20.89,0.87,2785,,00783,富邦中証500
2019-04-02,8260400,173469508,20.96,21.07,20.92,21.07,0.18,1412,,00783,富邦中証500
2019-04-03,4888192,102339106,20.98,21.01,20.78,20.99,-0.08,802,,00783,富邦中証500
2019-04-08,5656000,120034030,21.19,21.46,20.92,20.96,-0.03,1015,,00783,富邦中証500
2019-04-09,4106000,86913070,21.06,21.25,21.06,21.24,0.28,553,,00783,富邦中証500
2019-04-10,3037808,64181509,21.2,21.26,21.02,21.24,0.0,417,,00783,富邦中証500
2019-04-11,4427000,93243740,21.15,21.3,20.85,20.92,-0.32,628,,00783,富邦中証500
2019-04-12,3007100,62437738,20.76,20.85,20.69,20.78,-0.14,430,,00783,富邦中証500
2019-04-15,4143497,87321876,21.0,21.27,20.97,21.04,0.26,686,,00783,富邦中証500
2019-04-16,3037100,63103708,20.65,20.95,20.61,20.94,-0.1,499,,00783,富邦中証500
2019-04-17,3992201,84152251,21.05,21.15,20.96,21.12,0.18,450,,00783,富邦中証500
2019-04-18,2696700,56927324,21.25,21.25,21.02,21.05,-0.07,319,,00783,富邦中証500
2019-04-19,2872000,60232030,21.1,21.18,20.78,20.98,-0.07,393,,00783,富邦中証500
2019-04-22,3005413,62826153,21.0,21.13,20.73,20.8,-0.18,352,,00783,富邦中証500
2019-04-23,3302050,68251298,20.88,20.88,20.52,20.65,-0.15,329,,00783,富邦中証500
2019-04-24,2642000,54052130,20.6,20.7,20.34,20.55,-0.1,409,,00783,富邦中証500
