date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-05-03,2445000,36696300,15.0,15.04,14.99,15.03,0.13,785,,00830,國泰費城半導體
2019-05-06,532000,7918750,14.96,14.96,14.82,14.83,-0.2,216,,00830,國泰費城半導體
2019-05-07,888000,13199280,14.85,14.88,14.84,14.85,0.02,132,,00830,國泰費城半導體
2019-05-08,512000,7455570,14.54,14.59,14.5,14.56,-0.29,176,,00830,國泰費城半導體
2019-05-09,605000,8730260,14.55,14.55,14.38,14.38,-0.18,169,,00830,國泰費城半導體
2019-05-10,838000,12008120,14.38,14.44,14.22,14.29,-0.09,151,,00830,國泰費城半導體
2019-05-13,774000,10969950,14.17,14.2,14.15,14.16,-0.13,103,,00830,國泰費城半導體
2019-05-14,952000,13153900,13.7,13.86,13.69,13.86,-0.3,190,,00830,國泰費城半導體
2019-05-15,738010,10382370,14.04,14.1,14.01,14.1,0.24,95,,00830,國泰費城半導體
2019-05-16,628000,8859000,14.13,14.14,14.07,14.08,-0.02,53,,00830,國泰費城半導體
2019-05-17,736009,10301525,14.13,14.13,13.96,13.98,-0.1,101,,00830,國泰費城半導體
2019-05-20,783000,10839510,13.88,13.88,13.83,13.84,-0.14,90,,00830,國泰費城半導體
2019-05-21,1167000,15648020,13.42,13.46,13.37,13.45,-0.39,262,,00830,國泰費城半導體
2019-05-22,769350,10451602,13.59,13.61,13.54,13.56,0.11,151,,00830,國泰費城半導體
2019-05-23,830101,11046777,13.5,13.5,13.29,13.29,-0.27,172,,00830,國泰費城半導體
2019-05-24,1241000,16363250,13.21,13.22,13.17,13.18,-0.11,196,,00830,國泰費城半導體
2019-05-27,1020000,13271430,13.05,13.05,12.99,13.01,-0.17,182,,00830,國泰費城半導體
2019-05-28,777000,10175890,13.07,13.12,13.05,13.12,0.11,78,,00830,國泰費城半導體
2019-05-29,1141000,14725410,12.94,12.95,12.88,12.95,-0.17,166,,00830,國泰費城半導體
2019-05-30,820099,10682120,13.02,13.04,13.01,13.03,0.08,118,,00830,國泰費城半導體
2019-05-31,1327000,17266760,13.01,13.04,12.99,13.02,-0.01,179,,00830,國泰費城半導體
2019-06-03,1006000,12911530,12.89,12.91,12.81,12.84,-0.18,236,,00830,國泰費城半導體
2019-06-04,1058000,13609730,12.86,12.88,12.84,12.86,0.02,151,,00830,國泰費城半導體
2019-06-05,1434020,19177220,13.35,13.41,13.35,13.4,0.54,304,,00830,國泰費城半導體
2019-06-06,1143350,15147410,13.32,13.32,13.21,13.21,-0.19,181,,00830,國泰費城半導體
2019-06-10,1715350,23302542,13.45,13.66,13.45,13.66,0.45,285,,00830,國泰費城半導體
2019-06-11,11182670,165526006,14.15,15.31,14.14,15.3,1.64,3812,,00830,國泰費城半導體
2019-06-12,12424600,176034508,14.5,14.5,14.02,14.07,-1.23,4223,,00830,國泰費城半導體
2019-06-13,4611200,63508804,13.8,13.84,13.7,13.76,-0.31,1935,,00830,國泰費城半導體
2019-06-14,3258800,44810250,13.82,13.85,13.68,13.7,-0.06,1188,,00830,國泰費城半導體
2019-06-17,2129001,28798543,13.49,13.56,13.45,13.56,-0.14,767,,00830,國泰費城半導體
2019-06-18,2426800,32657170,13.54,13.54,13.41,13.42,-0.14,936,,00830,國泰費城半導體
2019-06-19,4738369,66036190,14.0,14.01,13.88,13.94,0.52,1265,,00830,國泰費城半導體
2019-06-20,1590286,22094966,13.94,13.94,13.87,13.89,-0.05,498,,00830,國泰費城半導體
2019-06-21,2247306,31170248,13.9,13.94,13.8,13.8,-0.09,652,,00830,國泰費城半導體
2019-06-24,953000,13117900,13.75,13.8,13.74,13.8,0.0,293,,00830,國泰費城半導體
2019-06-25,1094104,15066662,13.82,13.83,13.71,13.73,-0.07,386,,00830,國泰費城半導體
2019-06-26,1525000,20837770,13.65,13.71,13.6,13.7,-0.03,507,,00830,國泰費城半導體
2019-06-27,2315180,32347790,13.96,14.0,13.95,13.98,0.28,696,,00830,國泰費城半導體
2019-06-28,3254150,45913995,14.09,14.14,14.06,14.14,0.16,836,,00830,國泰費城半導體
2019-07-01,5898400,86062732,14.48,14.71,14.48,14.7,0.56,1435,,00830,國泰費城半導體
2019-07-02,2056390,29992464,14.7,14.7,14.52,14.57,-0.13,674,,00830,國泰費城半導體
2019-07-03,3007100,43101927,14.48,14.48,14.29,14.3,-0.27,823,,00830,國泰費城半導體
2019-07-04,1090255,15639577,14.36,14.38,14.32,14.33,0.03,391,,00830,國泰費城半導體
2019-07-05,484000,6939110,14.34,14.38,14.32,14.34,0.01,217,,00830,國泰費城半導體
2019-07-08,1071002,15231928,14.26,14.26,14.2,14.22,-0.12,374,,00830,國泰費城半導體
2019-07-09,1284855,18169289,14.16,14.17,14.11,14.12,-0.1,406,,00830,國泰費城半導體
2019-07-10,941627,13426543,14.21,14.28,14.21,14.28,0.16,359,,00830,國泰費城半導體
2019-07-11,1029500,14777464,14.35,14.38,14.3,14.35,0.07,336,,00830,國泰費城半導體
2019-07-12,999000,14371750,14.37,14.4,14.35,14.38,0.03,300,,00830,國泰費城半導體
2019-07-15,1981100,28948521,14.62,14.64,14.57,14.61,0.23,580,,00830,國泰費城半導體
2019-07-16,1686100,24811435,14.68,14.76,14.68,14.73,0.12,457,,00830,國泰費城半導體
2019-07-17,1646144,23964005,14.6,14.62,14.52,14.55,-0.18,399,,00830,國泰費城半導體
2019-07-18,1100000,16017400,14.55,14.6,14.51,14.51,-0.04,281,,00830,國泰費城半導體
2019-07-19,2653000,39290470,14.74,14.86,14.72,14.84,0.33,620,,00830,國泰費城半導體
2019-07-22,921400,13639330,14.82,14.82,14.78,14.78,-0.06,242,,00830,國泰費城半導體
2019-07-23,1770256,26620027,14.94,15.08,14.94,15.01,0.23,468,,00830,國泰費城半導體
2019-07-24,2308196,35197054,15.16,15.3,15.16,15.3,0.29,652,,00830,國泰費城半導體
2019-07-25,2238200,34979493,15.63,15.67,15.58,15.62,0.32,614,,00830,國泰費城半導體
2019-07-26,1378000,21388850,15.37,15.58,15.37,15.57,-0.05,335,,00830,國泰費城半導體
2019-07-29,725684,11229812,15.49,15.5,15.45,15.5,-0.07,220,,00830,國泰費城半導體
2019-07-30,474050,7373207,15.51,15.59,15.51,15.53,0.03,186,,00830,國泰費城半導體
2019-07-31,640743,9913568,15.5,15.5,15.46,15.47,-0.06,207,,00830,國泰費城半導體
2019-08-01,2082500,31347160,15.0,15.08,15.0,15.03,-0.44,551,,00830,國泰費城半導體
2019-08-02,1478200,21862942,14.84,14.88,14.7,14.85,-0.18,442,,00830,國泰費城半導體
2019-08-05,1511100,22097408,14.67,14.73,14.56,14.63,-0.22,417,,00830,國泰費城半導體
2019-08-06,2836000,40030760,14.42,14.42,14.0,14.35,-0.28,833,,00830,國泰費城半導體
2019-08-07,904602,12990948,14.48,14.48,14.32,14.34,-0.01,291,,00830,國泰費城半導體
2019-08-08,825200,11910624,14.35,14.49,14.35,14.47,0.13,234,,00830,國泰費城半導體
2019-08-12,622415,9030631,14.47,14.56,14.45,14.56,0.09,177,,00830,國泰費城半導體
2019-08-13,390000,5639760,14.5,14.5,14.43,14.46,-0.1,153,,00830,國泰費城半導體
2019-08-14,676050,9952595,14.79,14.8,14.69,14.71,0.25,250,,00830,國泰費城半導體
