date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-08-23,9955000,199310194,20.0,20.08,19.99,20.08,0.11,3335,,00850,元大臺灣ESG永續
2019-08-26,11301984,227397594,20.08,21.0,20.0,20.25,0.17,4760,,00850,元大臺灣ESG永續
2019-08-27,11447724,229685082,20.09,20.1,20.03,20.04,-0.21,4491,,00850,元大臺灣ESG永續
2019-08-28,17539999,349404146,19.99,19.99,19.88,19.91,-0.13,6910,,00850,元大臺灣ESG永續
2019-08-29,7790499,154888929,19.91,19.96,19.84,19.95,0.04,3285,,00850,元大臺灣ESG永續
2019-08-30,4305448,86768705,20.06,20.23,20.06,20.23,0.28,1697,,00850,元大臺灣ESG永續
2019-09-02,6340732,128506128,20.26,20.29,20.23,20.29,0.06,2539,,00850,元大臺灣ESG永續
2019-09-03,6052641,122351597,20.29,20.29,20.14,20.14,-0.15,2995,,00850,元大臺灣ESG永續
2019-09-04,5975246,120986054,20.18,20.31,20.17,20.3,0.16,2308,,00850,元大臺灣ESG永續
2019-09-05,6156731,126049166,20.49,20.5,20.42,20.48,0.18,2206,,00850,元大臺灣ESG永續
2019-09-06,5867056,120807039,20.6,20.61,20.55,20.6,0.12,2158,,00850,元大臺灣ESG永續
2019-09-09,8673949,179523590,20.7,20.73,20.65,20.69,0.09,2975,,00850,元大臺灣ESG永續
2019-09-10,5286058,109055735,20.74,20.74,20.57,20.62,-0.07,2389,,00850,元大臺灣ESG永續
2019-09-11,3251009,67064144,20.67,20.7,20.59,20.62,0.0,1423,,00850,元大臺灣ESG永續
2019-09-12,2661688,55115965,20.71,20.74,20.66,20.71,0.09,1035,,00850,元大臺灣ESG永續
2019-09-16,3239980,67283859,20.78,20.8,20.72,20.8,0.09,1325,,00850,元大臺灣ESG永續
2019-09-17,6786209,141219559,20.85,20.85,20.79,20.81,0.01,2550,,00850,元大臺灣ESG永續
2019-09-18,8373558,175276021,20.85,21.02,20.84,21.02,0.21,2870,,00850,元大臺灣ESG永續
2019-09-19,18425360,392511255,21.1,21.75,21.02,21.42,0.4,6084,,00850,元大臺灣ESG永續
2019-09-20,25787662,543370186,21.35,21.35,21.0,21.05,-0.37,9927,,00850,元大臺灣ESG永續
2019-09-23,11732295,244660495,20.91,20.94,20.81,20.83,-0.22,4728,,00850,元大臺灣ESG永續
2019-09-24,4478666,93288092,20.83,20.89,20.78,20.86,0.03,2033,,00850,元大臺灣ESG永續
2019-09-25,6045518,125409464,20.83,20.83,20.7,20.76,-0.1,2581,,00850,元大臺灣ESG永續
2019-09-26,3114165,64770573,20.8,20.87,20.76,20.76,0.0,1198,,00850,元大臺灣ESG永續
2019-09-27,2540751,52846977,20.8,20.85,20.76,20.77,0.01,1076,,00850,元大臺灣ESG永續
2019-10-01,3711098,77844913,20.81,21.04,20.81,21.04,0.27,1427,,00850,元大臺灣ESG永續
2019-10-02,2821904,59270679,21.04,21.04,20.98,21.01,-0.03,985,,00850,元大臺灣ESG永續
2019-10-03,2928409,61058474,20.93,20.93,20.76,20.88,-0.13,1397,,00850,元大臺灣ESG永續
2019-10-04,2209162,46173585,20.89,20.99,20.84,20.92,0.04,1062,,00850,元大臺灣ESG永續
2019-10-07,2172673,45568473,20.95,21.0,20.95,20.95,0.03,951,,00850,元大臺灣ESG永續
2019-10-08,4485818,94585975,21.02,21.12,21.02,21.11,0.16,1365,,00850,元大臺灣ESG永續
2019-10-09,4728934,99429140,21.11,21.11,20.95,20.95,-0.16,1468,,00850,元大臺灣ESG永續
2019-10-14,7212594,152968189,21.11,21.24,21.11,21.23,0.28,1645,,00850,元大臺灣ESG永續
2019-10-15,4153562,88683274,21.35,21.4,21.28,21.35,0.12,1504,,00850,元大臺灣ESG永續
2019-10-16,3542388,75803814,21.45,21.49,21.35,21.42,0.07,1164,,00850,元大臺灣ESG永續
2019-10-17,2928106,62707850,21.45,21.45,21.38,21.44,0.02,1000,,00850,元大臺灣ESG永續
2019-10-18,2799823,60151628,21.45,21.58,21.44,21.47,0.03,1079,,00850,元大臺灣ESG永續
2019-10-21,1669355,35768214,21.47,21.47,21.4,21.44,-0.03,926,,00850,元大臺灣ESG永續
2019-10-22,2957252,63739800,21.47,21.6,21.47,21.6,0.16,1081,,00850,元大臺灣ESG永續
2019-10-23,3879308,83863763,21.6,21.68,21.55,21.6,0.0,1585,,00850,元大臺灣ESG永續
2019-10-24,2240497,48529985,21.63,21.69,21.63,21.69,0.09,919,,00850,元大臺灣ESG永續
2019-10-25,3167124,68774904,21.7,21.77,21.69,21.71,0.02,1237,,00850,元大臺灣ESG永續
2019-10-28,4021337,87694321,21.77,21.82,21.77,21.81,0.1,1441,,00850,元大臺灣ESG永續
2019-10-29,4739066,103709872,21.85,21.93,21.84,21.91,0.1,1733,,00850,元大臺灣ESG永續
2019-10-30,2672812,58553204,21.94,21.95,21.87,21.95,0.04,1184,,00850,元大臺灣ESG永續
2019-10-31,7215974,159226534,21.95,22.11,21.95,22.04,0.09,2457,,00850,元大臺灣ESG永續
2019-11-01,3232250,71151345,22.05,22.05,21.98,22.04,0.0,1393,,00850,元大臺灣ESG永續
2019-11-04,6664869,149225816,22.09,22.53,22.09,22.52,0.48,2483,,00850,元大臺灣ESG永續
2019-11-05,7353881,166613767,22.65,22.69,22.62,22.69,0.17,2530,,00850,元大臺灣ESG永續
2019-11-06,5491759,124813010,22.78,22.81,22.65,22.81,0.12,2282,,00850,元大臺灣ESG永續
2019-11-07,7216223,163648314,22.83,22.83,22.57,22.73,-0.08,3152,,00850,元大臺灣ESG永續
2019-11-08,4926126,111541149,22.78,22.78,22.59,22.62,-0.11,2057,,00850,元大臺灣ESG永續
2019-11-11,8266762,184701247,22.6,22.6,22.26,22.27,-0.35,3530,,00850,元大臺灣ESG永續
2019-11-12,2667877,59791145,22.29,22.5,22.29,22.5,0.23,1098,,00850,元大臺灣ESG永續
2019-11-13,2634204,58994551,22.48,22.48,22.33,22.4,-0.1,1186,,00850,元大臺灣ESG永續
2019-11-14,1985218,44429100,22.41,22.45,22.33,22.37,-0.03,894,,00850,元大臺灣ESG永續
