date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-08-12,23000,465200,20.09,20.28,20.09,20.28,0.36,7,,00851,台新全球AI
2019-08-13,39000,795380,20.3,20.48,20.29,20.48,0.2,19,,00851,台新全球AI
2019-08-14,42000,868390,20.58,20.72,20.58,20.72,0.24,13,,00851,台新全球AI
2019-08-15,47000,960440,20.36,20.57,20.32,20.35,-0.37,30,,00851,台新全球AI
2019-08-16,31000,626230,20.08,20.23,20.08,20.22,-0.13,11,,00851,台新全球AI
2019-08-19,27000,547750,20.25,20.4,20.25,20.4,0.18,5,,00851,台新全球AI
2019-08-20,21000,433500,20.5,20.65,20.5,20.65,0.25,3,,00851,台新全球AI
2019-08-21,29000,596810,20.57,20.58,20.57,20.58,-0.07,4,,00851,台新全球AI
2019-08-22,20000,413080,20.68,20.68,20.65,20.65,0.07,4,,00851,台新全球AI
2019-08-23,21000,434940,20.69,20.74,20.69,20.74,0.09,4,,00851,台新全球AI
2019-08-26,21000,425240,20.19,20.28,20.16,20.28,-0.46,5,,00851,台新全球AI
2019-08-27,110000,2261000,20.64,20.64,20.53,20.53,0.25,11,,00851,台新全球AI
2019-08-28,22000,447900,20.36,20.36,20.35,20.35,-0.18,3,,00851,台新全球AI
2019-08-29,23000,463640,20.17,20.17,20.14,20.16,-0.19,6,,00851,台新全球AI
2019-08-30,24000,491340,20.47,20.49,20.47,20.49,0.33,4,,00851,台新全球AI
2019-09-02,20000,405090,20.27,20.27,20.25,20.25,-0.24,6,,00851,台新全球AI
2019-09-03,31000,637220,20.56,20.58,20.54,20.55,0.3,8,,00851,台新全球AI
2019-09-04,21000,430740,20.54,20.54,20.51,20.51,-0.04,3,,00851,台新全球AI
2019-09-05,22000,457680,20.71,20.92,20.71,20.77,0.26,8,,00851,台新全球AI
2019-09-06,21000,441800,21.07,21.07,21.01,21.01,0.24,8,,00851,台新全球AI
2019-09-09,24000,503720,20.99,20.99,20.97,20.98,-0.03,7,,00851,台新全球AI
2019-09-10,37000,770650,20.83,20.83,20.81,20.81,-0.17,5,,00851,台新全球AI
2019-09-11,23000,477330,20.73,20.77,20.71,20.77,-0.04,6,,00851,台新全球AI
2019-09-12,26000,544030,20.92,20.96,20.92,20.93,0.16,10,,00851,台新全球AI
2019-09-16,26000,546270,20.98,21.03,20.98,21.0,0.07,7,,00851,台新全球AI
2019-09-17,22000,461430,21.02,21.02,20.96,20.96,-0.04,6,,00851,台新全球AI
2019-09-18,20000,418800,20.94,20.94,20.94,20.94,-0.02,4,,00851,台新全球AI
2019-09-19,20000,417400,20.87,20.87,20.87,20.87,-0.07,2,,00851,台新全球AI
2019-09-20,21000,441180,21.01,21.01,20.98,20.98,0.11,3,,00851,台新全球AI
2019-09-23,23000,478830,20.81,20.82,20.81,20.81,-0.17,4,,00851,台新全球AI
2019-09-24,24000,498030,20.77,20.77,20.74,20.76,-0.05,7,,00851,台新全球AI
2019-09-25,23000,469240,20.41,20.41,20.4,20.41,-0.35,7,,00851,台新全球AI
