date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-11-19,132634331,2801976393,20.42,21.55,20.42,21.42,1.42,41818,,00861,元大全球未來通訊
2019-11-20,141813370,2957913216,21.4,21.4,20.7,20.71,-0.71,43592,,00861,元大全球未來通訊
2019-11-21,138708562,2761131270,19.9,19.95,19.87,19.88,-0.83,39594,,00861,元大全球未來通訊
2019-11-22,43770689,863162141,19.79,19.79,19.68,19.69,-0.19,16578,,00861,元大全球未來通訊
2019-11-25,15986012,315272824,19.75,19.75,19.7,19.7,0.01,6086,,00861,元大全球未來通訊
2019-11-26,15168375,300115879,19.8,19.83,19.76,19.76,0.06,5095,,00861,元大全球未來通訊
2019-11-27,7728349,153312353,19.83,19.85,19.81,19.85,0.09,2963,,00861,元大全球未來通訊
2019-11-28,7688015,152515320,19.89,19.89,19.81,19.82,-0.03,3122,,00861,元大全球未來通訊
2019-11-29,11081980,218977331,19.82,19.82,19.72,19.72,-0.1,4676,,00861,元大全球未來通訊
2019-12-02,11116555,218900814,19.72,19.73,19.67,19.69,-0.03,3698,,00861,元大全球未來通訊
2019-12-03,13528487,263211061,19.59,19.59,19.4,19.46,-0.23,5998,,00861,元大全球未來通訊
2019-12-04,13118313,253152734,19.34,19.35,19.25,19.3,-0.16,5333,,00861,元大全球未來通訊
2019-12-05,7498024,146046614,19.43,19.52,19.43,19.5,0.2,2801,,00861,元大全球未來通訊
2019-12-06,3800501,74199666,19.55,19.57,19.5,19.51,0.01,1616,,00861,元大全球未來通訊
2019-12-09,5266798,103358520,19.69,19.69,19.6,19.6,0.09,2273,,00861,元大全球未來通訊
2019-12-10,4765112,93462965,19.6,19.65,19.58,19.63,0.03,1411,,00861,元大全球未來通訊
2019-12-11,4685119,91886144,19.63,19.64,19.58,19.62,-0.01,1576,,00861,元大全球未來通訊
2019-12-12,7655599,151040314,19.66,19.77,19.66,19.7,0.08,2249,,00861,元大全球未來通訊
2019-12-13,10562323,209307631,19.8,19.85,19.75,19.84,0.14,3082,,00861,元大全球未來通訊
2019-12-16,6118948,121787066,19.87,19.92,19.87,19.92,0.08,2488,,00861,元大全球未來通訊
2019-12-17,10149171,203079835,19.96,20.04,19.96,20.03,0.11,3733,,00861,元大全球未來通訊
2019-12-18,8083415,161726767,20.05,20.05,19.99,20.0,-0.03,2802,,00861,元大全球未來通訊
2019-12-19,13154456,264321133,20.05,20.13,20.05,20.08,0.08,2815,,00861,元大全球未來通訊
2019-12-20,15090427,305508337,20.18,20.3,20.18,20.28,0.2,3844,,00861,元大全球未來通訊
2019-12-23,9393489,191058016,20.35,20.38,20.31,20.32,0.04,2853,,00861,元大全球未來通訊
2019-12-24,9292904,188619960,20.35,20.35,20.27,20.31,-0.01,2212,,00861,元大全球未來通訊
2019-12-25,6051325,122599495,20.31,20.33,20.2,20.2,-0.11,2336,,00861,元大全球未來通訊
2019-12-26,4334075,87733857,20.22,20.26,20.22,20.23,0.03,1326,,00861,元大全球未來通訊
2019-12-27,8243225,167864488,20.31,20.39,20.31,20.38,0.15,2377,,00861,元大全球未來通訊
2019-12-30,11421066,233711579,20.4,20.51,20.4,20.5,0.12,3084,,00861,元大全球未來通訊
2019-12-31,5834000,119102949,20.47,20.47,20.4,20.4,-0.1,1986,,00861,元大全球未來通訊
2020-01-02,8542601,174459749,20.41,20.46,20.4,20.42,0.02,2450,,00861,元大全球未來通訊
2020-01-03,17075718,349887219,20.5,20.57,20.39,20.45,0.03,3716,,00861,元大全球未來通訊
2020-01-06,10350936,210303122,20.38,20.38,20.3,20.3,-0.15,2887,,00861,元大全球未來通訊
2020-01-07,9108651,185285623,20.35,20.38,20.31,20.34,0.04,1962,,00861,元大全球未來通訊
2020-01-08,11693200,235850546,20.18,20.29,20.06,20.21,-0.13,2717,,00861,元大全球未來通訊
2020-01-09,9802100,200028330,20.4,20.43,20.38,20.39,0.18,2050,,00861,元大全球未來通訊
