date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2019-11-25,8584000,343022400,39.92,40.0,39.92,39.99,-0.01,2579,,00865B,國泰US短期公債
2019-11-26,629000,25112460,39.92,39.95,39.91,39.92,-0.07,228,,00865B,國泰US短期公債
2019-11-27,745000,29750430,39.9,39.96,39.9,39.94,0.02,212,,00865B,國泰US短期公債
2019-11-28,373000,14894060,39.9,39.94,39.9,39.92,-0.02,97,,00865B,國泰US短期公債
2019-11-29,550000,21969440,39.55,39.96,39.55,39.95,0.03,138,,00865B,國泰US短期公債
2019-12-02,167000,6668650,39.95,39.97,39.87,39.93,-0.02,61,,00865B,國泰US短期公債
2019-12-03,274000,10940170,39.9,39.94,39.9,39.93,0.0,83,,00865B,國泰US短期公債
2019-12-04,399001,15943660,39.95,39.97,39.94,39.94,0.01,109,,00865B,國泰US短期公債
2019-12-05,238000,9493820,39.92,39.96,39.37,39.94,0.0,80,,00865B,國泰US短期公債
2019-12-06,263000,10504540,39.95,39.95,39.93,39.94,0.0,58,,00865B,國泰US短期公債
2019-12-09,137000,5470470,39.94,39.94,39.91,39.93,-0.01,50,,00865B,國泰US短期公債
2019-12-10,285000,11387110,39.92,39.96,39.92,39.95,0.02,75,,00865B,國泰US短期公債
2019-12-11,191000,7629610,39.95,39.96,39.94,39.94,-0.01,42,,00865B,國泰US短期公債
2019-12-12,163000,6496830,39.94,39.94,39.77,39.84,-0.1,61,,00865B,國泰US短期公債
2019-12-13,72000,2853010,39.7,39.7,39.57,39.65,-0.19,34,,00865B,國泰US短期公債
2019-12-16,82000,3248360,39.61,39.66,39.58,39.59,-0.06,33,,00865B,國泰US短期公債
2019-12-17,86000,3400660,39.58,39.58,39.52,39.54,-0.05,34,,00865B,國泰US短期公債
2019-12-18,123000,4861590,39.23,39.58,39.23,39.54,0.0,38,,00865B,國泰US短期公債
2019-12-19,180001,7122669,39.57,39.58,39.57,39.57,0.03,26,,00865B,國泰US短期公債
2019-12-20,185000,7322460,39.59,39.62,39.57,39.62,0.05,17,,00865B,國泰US短期公債
2019-12-23,25000,989970,39.6,39.62,39.58,39.59,-0.03,10,,00865B,國泰US短期公債
2019-12-24,29000,1148030,39.58,39.59,39.58,39.58,-0.01,10,,00865B,國泰US短期公債
2019-12-25,82000,3238050,39.49,39.5,39.48,39.48,-0.1,18,,00865B,國泰US短期公債
2019-12-26,44000,1737080,39.5,39.51,39.47,39.47,-0.01,16,,00865B,國泰US短期公債
2019-12-27,100000,3945130,39.46,39.47,39.42,39.47,0.0,29,,00865B,國泰US短期公債
2019-12-30,17000,670030,39.45,39.45,39.39,39.39,-0.08,11,,00865B,國泰US短期公債
2019-12-31,203000,7988530,39.34,39.42,39.34,39.37,-0.02,17,,00865B,國泰US短期公債
2020-01-02,120000,4719570,39.3,39.4,39.29,39.37,0.0,29,,00865B,國泰US短期公債
2020-01-03,67000,2642550,39.4,39.49,39.4,39.46,0.09,24,,00865B,國泰US短期公債
2020-01-06,27000,1065190,39.44,39.48,39.44,39.44,-0.02,19,,00865B,國泰US短期公債
2020-01-07,49000,1931680,39.42,39.44,39.41,39.42,-0.02,18,,00865B,國泰US短期公債
2020-01-08,43000,1699930,39.5,39.67,39.43,39.43,0.01,31,,00865B,國泰US短期公債
2020-01-09,19000,747530,39.35,39.35,39.34,39.34,-0.09,9,,00865B,國泰US短期公債
2020-01-10,219000,8660610,39.39,39.57,39.39,39.53,0.19,39,,00865B,國泰US短期公債
2020-01-13,62000,2441260,39.37,39.38,39.37,39.38,-0.15,17,,00865B,國泰US短期公債
2020-01-14,283000,11083960,39.38,39.38,39.13,39.18,-0.2,28,,00865B,國泰US短期公債
2020-01-15,36000,1411650,39.18,39.23,39.18,39.23,0.05,17,,00865B,國泰US短期公債
2020-01-16,80000,3139280,39.23,39.26,39.22,39.25,0.02,20,,00865B,國泰US短期公債
2020-01-17,30000,1177170,39.25,39.28,39.22,39.28,0.03,10,,00865B,國泰US短期公債
2020-01-20,26000,1020550,39.28,39.28,39.23,39.23,-0.05,14,,00865B,國泰US短期公債
2020-01-30,136000,5358890,39.23,39.57,39.2,39.51,0.28,27,,00865B,國泰US短期公債
2020-01-31,152000,6011090,39.51,39.59,39.4,39.59,0.08,33,,00865B,國泰US短期公債
2020-02-03,155000,6156100,39.62,39.8,39.6,39.75,0.16,64,,00865B,國泰US短期公債
2020-02-04,118000,4674260,39.58,39.63,39.58,39.61,-0.14,12,,00865B,國泰US短期公債
2020-02-05,47000,1858000,39.55,39.55,39.48,39.52,-0.09,6,,00865B,國泰US短期公債
2020-02-06,149000,5863280,39.5,39.5,39.34,39.35,-0.17,17,,00865B,國泰US短期公債
2020-02-07,143000,5645370,39.48,39.5,39.45,39.5,0.15,21,,00865B,國泰US短期公債
2020-02-10,72000,2846350,39.5,39.54,39.5,39.54,0.04,7,,00865B,國泰US短期公債
2020-02-11,24000,944640,39.35,39.4,39.35,39.36,-0.18,10,,00865B,國泰US短期公債
2020-02-12,21000,825700,39.32,39.32,39.31,39.32,-0.04,5,,00865B,國泰US短期公債
2020-02-13,17000,668840,39.33,39.38,39.33,39.38,0.06,10,,00865B,國泰US短期公債
2020-02-14,12000,472560,39.38,39.38,39.38,39.38,0.0,3,,00865B,國泰US短期公債
2020-02-17,27000,1062550,39.35,39.36,39.35,39.36,-0.02,8,,00865B,國泰US短期公債
2020-02-18,42000,1658000,39.5,39.5,39.42,39.47,0.11,17,,00865B,國泰US短期公債
2020-02-19,56000,2215880,39.55,39.57,39.55,39.57,0.1,17,,00865B,國泰US短期公債
