date,ICBC,YILI,ZTE,YUNNAN,SINOPEC,CSI300
2019-01-03,7.72,1786.34,258.08,1347.06,10.43,2964.84
2019-01-04,7.79,1802.16,263.55,1364.38,10.5,3035.87
2019-01-07,7.76,1820.13,274.25,1390.53,10.61,3054.3
2019-01-08,7.72,1807.91,272.68,1422.82,10.69,3047.7
2019-01-09,7.78,1822.29,272.95,1424.98,10.83,3078.48
2019-01-10,7.74,1843.85,274.9,1412.9,10.76,3072.69
2019-01-11,7.76,1873.33,280.64,1414.34,10.83,3094.78
2019-01-14,7.72,1850.32,275.16,1384.76,10.75,3067.78
2019-01-15,7.75,1915.75,281.81,1439.77,10.8,3127.99
2019-01-16,7.76,1908.56,278.03,1473.5,10.88,3128.65
2019-01-17,7.77,1913.59,274.12,1452.76,10.84,3111.42
2019-01-18,7.92,1940.91,273.73,1500.2,10.89,3168.17
2019-01-21,7.98,1964.63,287.55,1500.92,11.0,3185.64
2019-01-22,7.92,1939.47,279.73,1479.64,10.87,3143.32
2019-01-23,7.97,1930.12,279.86,1505.79,10.87,3141.05
2019-01-24,7.99,1933.0,278.81,1520.76,10.93,3158.78
2019-01-25,8.05,1939.47,278.16,1495.69,10.98,3184.47
2019-01-28,8.03,1923.65,277.12,1491.54,11.09,3183.78
2019-01-29,8.07,1930.12,273.73,1509.22,11.17,3193.97
2019-01-30,8.08,1915.75,270.21,1486.13,11.19,3168.48
2019-01-31,8.2,1921.5,275.42,1486.67,11.32,3201.63
2019-02-01,8.19,1947.38,279.34,1544.93,11.34,3247.4
2019-02-11,8.18,1999.14,285.34,1587.14,11.28,3306.47
2019-02-12,8.19,1993.39,287.81,1620.51,11.27,3330.34
2019-02-13,8.25,2016.4,312.47,1627.73,11.49,3397.03
2019-02-14,8.19,2050.9,311.16,1612.39,11.47,3402.14
2019-02-15,8.04,2010.64,313.12,1578.12,11.35,3338.7
2019-02-18,8.14,2039.4,327.99,1622.14,11.54,3445.74
2019-02-19,8.1,2011.36,326.94,1593.27,11.52,3439.61
2019-02-20,8.1,2019.99,326.16,1595.8,11.54,3451.93
2019-02-21,8.09,2016.4,343.25,1579.39,11.5,3442.71
2019-02-22,8.08,2016.4,376.24,1583.9,11.52,3520.12
2019-02-25,8.45,2089.01,408.46,1618.53,11.76,3729.48
2019-02-26,8.31,2071.75,403.11,1645.4,11.67,3684.69
2019-02-27,8.36,2097.63,397.24,1619.25,11.73,3678.39
2019-03-01,8.4,2182.47,400.9,1645.76,11.78,3749.71
2019-03-04,8.41,2193.97,408.46,1690.32,11.82,3794.1
2019-03-05,8.37,2177.43,425.94,1689.96,11.79,3816.01
2019-03-06,8.4,2147.24,421.37,1671.92,11.84,3848.09
2019-03-07,8.3,2090.45,409.63,1632.6,11.78,3808.85
2019-03-08,8.13,2077.5,394.11,1577.76,11.48,3657.58
2019-03-11,8.15,2110.57,409.63,1600.67,11.5,3729.95
2019-03-12,8.16,2116.33,418.63,1595.62,11.65,3755.35
2019-03-13,8.12,2078.94,387.2,1607.16,11.53,3724.19
2019-03-14,8.1,2075.35,381.59,1610.59,11.58,3698.49
2019-03-15,8.12,2094.76,383.29,1601.57,11.6,3745.01
2019-03-18,8.19,2236.39,393.85,1670.48,11.75,3851.75
2019-03-19,8.19,2199.72,391.77,1641.07,11.74,3833.96
2019-03-20,8.15,2193.25,391.11,1631.88,11.67,3835.44
2019-03-21,8.13,2169.53,390.07,1638.01,11.69,3836.89
2019-03-22,8.12,2190.38,381.2,1636.2,11.65,3833.8
2019-03-25,8.0,2136.46,382.64,1584.26,11.44,3742.83
2019-03-26,7.98,2149.4,366.98,1573.97,11.28,3700.44
2019-03-27,8.04,2210.51,360.98,1596.7,11.31,3743.39
2019-03-28,7.98,2217.69,395.81,1584.98,11.21,3728.4
2019-03-29,8.1,2275.93,393.98,1626.83,11.34,3872.34
2019-04-01,8.18,2323.38,404.42,1662.9,11.47,3973.93
2019-04-02,8.2,2290.31,403.11,1647.57,11.43,3971.29
2019-04-03,8.24,2291.74,402.46,1629.53,11.49,4022.16
2019-04-04,8.36,2324.1,404.16,1615.28,11.58,4062.23
2019-04-08,8.37,2291.02,394.5,1627.55,11.71,4057.23
2019-04-09,8.32,2462.13,407.03,1725.85,11.62,4075.43
2019-04-10,8.29,2497.36,423.98,1781.77,11.54,4085.85
2019-04-11,8.27,2413.24,409.5,1722.42,11.45,3997.58
2019-04-12,8.27,2390.24,407.81,1707.63,11.44,3988.62
2019-04-15,8.36,2390.24,410.94,1692.66,11.43,3975.52
2019-04-16,8.55,2452.78,450.72,1710.7,11.54,4085.79
2019-04-17,8.56,2446.31,457.63,1729.46,11.52,4087.24
2019-04-18,8.49,2450.63,457.76,1709.08,11.48,4072.08
2019-04-19,8.53,2472.19,489.06,1706.91,11.5,4120.61
2019-04-22,8.38,2460.69,492.59,1740.82,11.58,4025.61
2019-04-23,8.36,2424.74,476.54,1722.42,11.52,4019.01
2019-04-24,8.36,2443.44,469.89,1744.07,11.44,4030.09
2019-04-25,8.27,2422.59,452.02,1697.17,11.32,3941.82
2019-04-26,8.25,2390.24,458.81,1639.63,11.23,3889.27
2019-04-29,8.35,2444.16,454.63,1663.8,11.23,3900.33
2019-04-30,8.36,2462.13,432.46,1680.94,11.26,3913.21
2019-05-06,8.26,2390.24,390.59,1563.87,10.95,3684.62
2019-05-07,8.2,2429.78,391.5,1602.11,10.96,3720.67
2019-05-08,8.13,2400.3,389.94,1599.77,10.87,3667.46
2019-05-09,8.05,2331.28,382.24,1516.61,10.83,3599.7
2019-05-10,8.15,2408.93,415.89,1527.8,10.93,3730.45
2019-05-13,8.07,2418.99,407.16,1511.38,10.85,3668.73
2019-05-14,8.05,2391.67,403.76,1503.81,10.84,3645.15
2019-05-15,8.1,2464.29,411.07,1527.62,10.89,3727.09
2019-05-29,8.19,2384.49,393.46,1508.32,10.91,3663.91
2019-05-30,8.21,2394.55,383.29,1500.56,10.98,3641.18
2019-05-31,8.15,2390.96,388.24,1485.95,10.93,3629.79
2019-06-03,8.24,2432.65,408.2,1504.53,10.95,3632.01
2019-06-04,8.27,2411.09,410.94,1492.62,10.93,3598.47
2019-06-05,8.3,2398.86,431.68,1464.67,11.0,3597.11
2019-06-06,8.27,2390.24,401.55,1461.6,11.0,3564.68
2019-06-10,8.32,2439.12,417.72,1480.36,11.08,3610.74
2019-06-11,8.33,2564.94,425.55,1523.11,11.1,3719.28
2019-06-12,8.3,2516.05,423.59,1517.34,11.05,3691.1
2019-06-13,8.27,2502.39,420.33,1524.55,11.04,3685.39
2019-06-14,8.28,2518.21,408.07,1519.86,10.98,3654.88
2019-06-17,8.28,2498.79,403.37,1512.47,11.01,3654.82
2019-06-18,8.28,2499.51,404.42,1512.65,11.05,3667.62
2019-06-19,8.32,2516.05,417.07,1526.72,11.09,3715.94
2019-06-20,8.39,2578.59,430.11,1543.13,11.18,3828.52
2019-06-21,8.4,2557.03,429.59,1544.76,11.24,3833.94
2019-06-24,8.43,2557.75,421.37,1556.3,11.23,3841.27
2019-06-25,8.38,2565.65,425.02,1576.5,11.22,3801.31
2019-06-26,8.4,2593.69,423.72,1582.45,11.31,3794.33
2019-06-27,8.46,2613.82,441.07,1631.7,11.27,3834.82
2019-06-28,8.44,2635.39,437.42,1625.38,11.32,3825.59
2019-07-01,8.47,2696.5,455.28,1643.06,11.34,3935.81
2019-07-02,8.48,2711.6,457.63,1652.08,11.28,3937.17
2019-07-03,8.47,2645.45,446.15,1638.55,11.21,3893.53
2019-07-04,8.48,2635.39,446.68,1621.78,11.3,3873.1
2019-07-05,8.47,2639.7,447.2,1637.65,11.26,3893.2
2019-07-08,8.39,2604.48,433.89,1597.97,11.14,3802.79
2019-07-09,8.38,2625.32,432.85,1604.46,11.05,3793.13
2019-07-10,8.35,2617.42,436.24,1601.39,10.97,3786.74
2019-07-11,8.37,2669.18,431.29,1576.5,11.0,3785.22
2019-07-12,8.42,2665.58,433.11,1593.1,11.02,3808.73
2019-07-15,8.4,2657.68,441.85,1592.01,11.05,3824.19
2019-07-16,8.41,2583.63,442.63,1566.04,11.1,3806.84
2019-07-17,8.36,2568.53,437.15,1527.98,11.08,3804.64
2019-07-18,8.37,2541.93,422.16,1501.29,11.02,3768.4
2019-07-19,8.4,2551.99,420.33,1502.55,11.09,3807.96
2019-07-22,8.44,2552.71,421.11,1487.04,11.05,3781.68
2019-07-23,8.46,2541.21,424.89,1520.95,11.05,3789.91
2019-07-24,8.49,2564.22,439.76,1518.24,11.08,3819.83
2019-07-25,8.49,2562.78,445.5,1538.44,11.09,3851.07
2019-07-26,8.49,2558.46,448.76,1523.47,11.08,3858.57
2019-07-29,8.45,2551.28,447.98,1491.73,11.04,3854.27
2019-07-30,8.46,2530.43,447.85,1487.04,11.05,3870.32
2019-07-31,8.44,2476.51,442.5,1490.1,11.06,3835.36
2019-08-01,8.41,2485.13,440.02,1486.49,11.01,3803.47
2019-08-02,8.36,2472.19,422.68,1480.54,10.88,3747.44
2019-08-05,8.27,2448.47,419.16,1462.5,10.76,3675.69
2019-08-06,8.2,2253.64,410.94,1468.1,10.7,3636.33
2019-08-07,8.18,2257.95,406.63,1461.42,10.67,3621.43
2019-08-08,8.22,2250.77,407.55,1478.56,10.69,3669.29
2019-08-09,8.25,2203.32,377.03,1460.88,10.69,3633.53
2019-08-12,8.3,2256.52,388.11,1483.61,10.7,3699.1
2019-08-13,8.3,2261.55,382.51,1491.73,10.63,3665.75
2019-08-14,8.32,2262.99,387.07,1486.13,10.67,3682.4
2019-08-15,8.36,2256.52,383.16,1476.93,10.67,3694.0
2019-08-16,8.29,2296.78,380.68,1479.64,10.67,3710.54
2019-08-19,8.26,2332.72,403.9,1504.71,10.76,3791.09
2019-08-20,8.21,2316.19,402.46,1527.62,10.78,3787.73
2019-08-21,8.22,2259.39,406.11,1516.08,10.75,3781.76
2019-08-22,8.18,2267.3,400.37,1514.99,10.72,3793.51
2019-08-23,8.21,2289.59,394.5,1525.09,10.72,3820.86
2019-08-26,8.17,2258.67,389.42,1550.17,10.67,3765.91
2019-08-27,8.21,2293.18,400.63,1560.99,10.7,3816.95
2019-08-28,8.19,2352.85,401.68,1540.25,10.69,3802.58
2019-08-29,8.21,2325.53,393.72,1500.74,10.7,3790.19
2019-08-30,8.18,2293.18,388.9,1504.17,10.69,3799.59
2019-09-02,8.18,2288.15,396.07,1492.63,10.74,3848.32
2019-09-03,8.19,2275.93,402.2,1483.79,10.74,3853.61
2019-09-04,8.26,2284.55,399.2,1492.63,10.83,3886.0
2019-09-05,8.29,2319.78,412.89,1491.54,10.85,3925.32
2019-09-06,8.31,2327.69,449.94,1493.35,10.91,3948.51
2019-09-09,8.3,2367.95,493.63,1503.81,10.96,3972.95
2019-09-10,8.29,2394.55,494.8,1527.62,11.0,3959.27
2019-09-11,8.35,2370.83,475.63,1500.74,11.05,3930.1
2019-09-12,8.37,2372.26,479.28,1502.55,10.98,3972.38
2019-09-16,8.37,2341.35,473.41,1517.52,11.17,3957.72
2019-09-17,8.3,2312.59,461.81,1506.16,11.08,3891.22
2019-09-18,8.29,2318.34,456.85,1518.06,10.96,3910.08
